"Date","Time, GMT-04:00","K-Type, °C (LGR S/N: 2249227)"
2017/07/12,11:27:58,28.34
2017/07/12,11:27:59,28.00
2017/07/12,11:28:00,28.00
2017/07/12,11:28:01,28.00
2017/07/12,11:28:02,28.00
2017/07/12,11:28:03,28.34
2017/07/12,11:28:04,28.34
2017/07/12,11:28:05,28.34
2017/07/12,11:28:06,28.34
2017/07/12,11:28:07,28.34
2017/07/12,11:28:08,28.34
2017/07/12,11:28:09,28.34
2017/07/12,11:28:10,28.34
2017/07/12,11:28:11,28.34
2017/07/12,11:28:12,28.34
2017/07/12,11:28:13,28.34
2017/07/12,11:28:14,28.34
2017/07/12,11:28:15,28.34
2017/07/12,11:28:16,28.34
2017/07/12,11:28:17,28.34
2017/07/12,11:28:18,28.34
2017/07/12,11:28:19,28.34
2017/07/12,11:28:20,28.34
2017/07/12,11:28:21,28.34
2017/07/12,11:28:22,28.34
2017/07/12,11:28:23,28.34
2017/07/12,11:28:24,28.34
2017/07/12,11:28:25,28.34
2017/07/12,11:28:26,28.34
2017/07/12,11:28:27,28.67
2017/07/12,11:28:28,28.67
2017/07/12,11:28:29,28.67
2017/07/12,11:28:30,28.67
2017/07/12,11:28:31,28.67
2017/07/12,11:28:32,28.67
2017/07/12,11:28:33,28.67
2017/07/12,11:28:34,29.01
2017/07/12,11:28:35,28.67
2017/07/12,11:28:36,29.01
2017/07/12,11:28:37,29.01
2017/07/12,11:28:38,29.01
2017/07/12,11:28:39,29.01
2017/07/12,11:28:40,29.01
2017/07/12,11:28:41,29.01
2017/07/12,11:28:42,29.01
2017/07/12,11:28:43,29.01
2017/07/12,11:28:44,29.01
2017/07/12,11:28:45,29.01
2017/07/12,11:28:46,29.01
2017/07/12,11:28:47,29.01
2017/07/12,11:28:48,29.01
2017/07/12,11:28:49,29.01
2017/07/12,11:28:50,29.01
2017/07/12,11:28:51,29.01
2017/07/12,11:28:52,29.01
2017/07/12,11:28:53,29.01
2017/07/12,11:28:54,29.01
2017/07/12,11:28:55,29.01
2017/07/12,11:28:56,29.01
2017/07/12,11:28:57,29.01
2017/07/12,11:28:58,29.01
2017/07/12,11:28:59,29.01
2017/07/12,11:29:00,29.01
2017/07/12,11:29:01,29.01
2017/07/12,11:29:02,29.01
2017/07/12,11:29:03,29.01
2017/07/12,11:29:04,29.01
2017/07/12,11:29:05,28.67
2017/07/12,11:29:06,28.67
2017/07/12,11:29:07,29.01
2017/07/12,11:29:08,29.01
2017/07/12,11:29:09,28.67
2017/07/12,11:29:10,28.67
2017/07/12,11:29:11,28.67
2017/07/12,11:29:12,29.01
2017/07/12,11:29:13,29.01
2017/07/12,11:29:14,29.01
2017/07/12,11:29:15,28.67
2017/07/12,11:29:16,28.67
2017/07/12,11:29:17,28.67
2017/07/12,11:29:18,29.01
2017/07/12,11:29:19,28.67
2017/07/12,11:29:20,28.67
2017/07/12,11:29:21,28.67
2017/07/12,11:29:22,28.67
2017/07/12,11:29:23,28.67
2017/07/12,11:29:24,28.67
2017/07/12,11:29:25,28.67
2017/07/12,11:29:26,28.67
2017/07/12,11:29:27,28.67
2017/07/12,11:29:28,28.67
2017/07/12,11:29:29,28.67
2017/07/12,11:29:30,28.67
2017/07/12,11:29:31,28.67
2017/07/12,11:29:32,28.67
2017/07/12,11:29:33,28.67
2017/07/12,11:29:34,28.67
2017/07/12,11:29:35,28.67
2017/07/12,11:29:36,28.67
2017/07/12,11:29:37,28.67
2017/07/12,11:29:38,28.67
2017/07/12,11:29:39,28.67
2017/07/12,11:29:40,28.67
2017/07/12,11:29:41,28.67
2017/07/12,11:29:42,28.67
2017/07/12,11:29:43,28.67
2017/07/12,11:29:44,28.67
2017/07/12,11:29:45,28.67
2017/07/12,11:29:46,28.67
2017/07/12,11:29:47,28.67
2017/07/12,11:29:48,28.67
2017/07/12,11:29:49,28.67
2017/07/12,11:29:50,28.67
2017/07/12,11:29:51,28.67
2017/07/12,11:29:52,28.67
2017/07/12,11:29:53,28.67
2017/07/12,11:29:54,28.67
2017/07/12,11:29:55,28.67
2017/07/12,11:29:56,28.67
2017/07/12,11:29:57,28.34
2017/07/12,11:29:58,28.67
2017/07/12,11:29:59,28.67
2017/07/12,11:30:00,28.67
2017/07/12,11:30:01,28.34
2017/07/12,11:30:02,28.67
2017/07/12,11:30:03,28.67
2017/07/12,11:30:04,28.67
2017/07/12,11:30:05,28.67
2017/07/12,11:30:06,28.67
2017/07/12,11:30:07,28.67
2017/07/12,11:30:08,28.67
2017/07/12,11:30:09,28.34
2017/07/12,11:30:10,28.67
2017/07/12,11:30:11,28.67
2017/07/12,11:30:12,28.34
2017/07/12,11:30:13,28.34
2017/07/12,11:30:14,28.34
2017/07/12,11:30:15,28.34
2017/07/12,11:30:16,28.34
2017/07/12,11:30:17,28.34
2017/07/12,11:30:18,28.34
2017/07/12,11:30:19,28.34
2017/07/12,11:30:20,28.34
2017/07/12,11:30:21,28.34
2017/07/12,11:30:22,28.34
2017/07/12,11:30:23,28.34
2017/07/12,11:30:24,28.34
2017/07/12,11:30:25,28.34
2017/07/12,11:30:26,28.34
2017/07/12,11:30:27,28.00
2017/07/12,11:30:28,28.00
2017/07/12,11:30:29,28.34
2017/07/12,11:30:30,28.00
2017/07/12,11:30:31,28.00
2017/07/12,11:30:32,28.00
2017/07/12,11:30:33,28.34
2017/07/12,11:30:34,28.00
2017/07/12,11:30:35,28.00
2017/07/12,11:30:36,28.34
2017/07/12,11:30:37,28.00
2017/07/12,11:30:38,28.00
2017/07/12,11:30:39,28.00
2017/07/12,11:30:40,28.00
2017/07/12,11:30:41,28.00
2017/07/12,11:30:42,28.00
2017/07/12,11:30:43,28.00
2017/07/12,11:30:44,28.00
2017/07/12,11:30:45,28.00
2017/07/12,11:30:46,28.00
2017/07/12,11:30:47,28.00
2017/07/12,11:30:48,28.00
2017/07/12,11:30:49,28.00
2017/07/12,11:30:50,28.00
2017/07/12,11:30:51,28.00
2017/07/12,11:30:52,28.00
2017/07/12,11:30:53,28.00
2017/07/12,11:30:54,28.00
2017/07/12,11:30:55,28.00
2017/07/12,11:30:56,28.00
2017/07/12,11:30:57,28.00
2017/07/12,11:30:58,28.00
2017/07/12,11:30:59,28.00
2017/07/12,11:31:00,28.00
2017/07/12,11:31:01,28.00
2017/07/12,11:31:02,28.00
2017/07/12,11:31:03,28.00
2017/07/12,11:31:04,28.00
2017/07/12,11:31:05,28.00
2017/07/12,11:31:06,28.00
2017/07/12,11:31:07,28.00
2017/07/12,11:31:08,28.00
2017/07/12,11:31:09,28.00
2017/07/12,11:31:10,28.00
2017/07/12,11:31:11,27.67
2017/07/12,11:31:12,27.67
2017/07/12,11:31:13,28.00
2017/07/12,11:31:14,27.67
2017/07/12,11:31:15,28.00
2017/07/12,11:31:16,28.00
2017/07/12,11:31:17,28.00
2017/07/12,11:31:18,28.00
2017/07/12,11:31:19,28.00
2017/07/12,11:31:20,27.67
2017/07/12,11:31:21,28.00
2017/07/12,11:31:22,28.00
2017/07/12,11:31:23,28.00
2017/07/12,11:31:24,27.67
2017/07/12,11:31:25,27.67
2017/07/12,11:31:26,27.67
2017/07/12,11:31:27,27.67
