"Date","Time, GMT-04:00","K-Type, °C (LGR S/N: 2249232)"
2017/07/05,12:29:41,38.00
2017/07/05,12:29:42,38.33
2017/07/05,12:29:43,38.00
2017/07/05,12:29:44,37.34
2017/07/05,12:29:45,37.34
2017/07/05,12:29:46,37.34
2017/07/05,12:29:47,37.00
2017/07/05,12:29:48,36.67
2017/07/05,12:29:49,37.00
2017/07/05,12:29:50,37.34
2017/07/05,12:29:51,37.34
2017/07/05,12:29:52,37.00
2017/07/05,12:29:53,37.00
2017/07/05,12:29:54,36.34
2017/07/05,12:29:55,35.68
2017/07/05,12:29:56,35.01
2017/07/05,12:29:57,34.68
2017/07/05,12:29:58,35.01
2017/07/05,12:29:59,34.68
2017/07/05,12:30:00,34.34
2017/07/05,12:30:01,34.68
2017/07/05,12:30:02,35.34
2017/07/05,12:30:03,35.68
2017/07/05,12:30:04,35.68
2017/07/05,12:30:05,35.68
2017/07/05,12:30:06,35.34
2017/07/05,12:30:07,35.34
2017/07/05,12:30:08,35.34
2017/07/05,12:30:09,35.34
2017/07/05,12:30:10,34.68
2017/07/05,12:30:11,34.01
2017/07/05,12:30:12,34.01
2017/07/05,12:30:13,34.34
2017/07/05,12:30:14,34.68
2017/07/05,12:30:15,35.34
2017/07/05,12:30:16,35.68
2017/07/05,12:30:17,35.68
2017/07/05,12:30:18,36.01
2017/07/05,12:30:19,36.34
2017/07/05,12:30:20,36.67
2017/07/05,12:30:21,37.00
2017/07/05,12:30:22,37.67
2017/07/05,12:30:23,38.00
2017/07/05,12:30:24,38.00
2017/07/05,12:30:25,38.33
2017/07/05,12:30:26,38.33
2017/07/05,12:30:27,38.66
2017/07/05,12:30:28,38.99
2017/07/05,12:30:29,39.33
2017/07/05,12:30:30,39.33
2017/07/05,12:30:31,39.66
2017/07/05,12:30:32,39.66
2017/07/05,12:30:33,39.99
2017/07/05,12:30:34,39.99
2017/07/05,12:30:35,39.99
2017/07/05,12:30:36,39.99
2017/07/05,12:30:37,39.99
2017/07/05,12:30:38,39.66
2017/07/05,12:30:39,38.99
2017/07/05,12:30:40,38.66
2017/07/05,12:30:41,38.66
2017/07/05,12:30:42,38.66
2017/07/05,12:30:43,38.99
2017/07/05,12:30:44,39.33
