"Date","Time, GMT-04:00","K-Type, °C"
2017/09/08,11:23:25,36.01
2017/09/08,11:23:26,36.01
2017/09/08,11:23:27,36.01
2017/09/08,11:23:28,36.34
2017/09/08,11:23:29,36.34
2017/09/08,11:23:30,36.67
2017/09/08,11:23:31,37.00
2017/09/08,11:23:32,37.34
2017/09/08,11:23:33,37.67
2017/09/08,11:23:34,37.67
2017/09/08,11:23:35,38.00
2017/09/08,11:23:36,38.00
2017/09/08,11:23:37,38.00
2017/09/08,11:23:38,38.00
2017/09/08,11:23:39,37.67
2017/09/08,11:23:40,38.00
2017/09/08,11:23:41,37.67
2017/09/08,11:23:42,37.67
2017/09/08,11:23:43,37.67
2017/09/08,11:23:44,38.00
2017/09/08,11:23:45,38.00
2017/09/08,11:23:46,38.00
2017/09/08,11:23:47,37.67
2017/09/08,11:23:48,37.67
2017/09/08,11:23:49,37.67
2017/09/08,11:23:50,38.00
2017/09/08,11:23:51,38.00
2017/09/08,11:23:52,38.00
2017/09/08,11:23:53,38.00
2017/09/08,11:23:54,37.67
2017/09/08,11:23:55,37.67
2017/09/08,11:23:56,37.34
2017/09/08,11:23:57,37.34
2017/09/08,11:23:58,37.34
2017/09/08,11:23:59,37.34
2017/09/08,11:24:00,37.34
2017/09/08,11:24:01,37.34
2017/09/08,11:24:02,37.34
2017/09/08,11:24:03,37.00
2017/09/08,11:24:04,37.00
2017/09/08,11:24:05,37.00
2017/09/08,11:24:06,37.00
2017/09/08,11:24:07,37.34
2017/09/08,11:24:08,37.34
2017/09/08,11:24:09,37.67
2017/09/08,11:24:10,37.67
2017/09/08,11:24:11,37.34
2017/09/08,11:24:12,37.34
2017/09/08,11:24:13,37.34
2017/09/08,11:24:14,37.34
2017/09/08,11:24:15,37.34
2017/09/08,11:24:16,37.67
2017/09/08,11:24:17,37.67
2017/09/08,11:24:18,38.00
2017/09/08,11:24:19,38.00
2017/09/08,11:24:20,38.00
2017/09/08,11:24:21,38.33
2017/09/08,11:24:22,38.33
2017/09/08,11:24:23,38.33
2017/09/08,11:24:24,38.33
2017/09/08,11:24:25,38.33
2017/09/08,11:24:26,38.33
2017/09/08,11:24:27,38.66
2017/09/08,11:24:28,38.99
2017/09/08,11:24:29,39.33
2017/09/08,11:24:30,39.33
2017/09/08,11:24:31,39.66
2017/09/08,11:24:32,40.32
2017/09/08,11:24:33,40.65
2017/09/08,11:24:34,40.98
2017/09/08,11:24:35,40.98
2017/09/08,11:24:36,40.98
2017/09/08,11:24:37,40.98
2017/09/08,11:24:38,40.98
2017/09/08,11:24:39,41.31
2017/09/08,11:24:40,41.31
2017/09/08,11:24:41,40.98
2017/09/08,11:24:42,40.98
2017/09/08,11:24:43,41.31
2017/09/08,11:24:44,41.31
2017/09/08,11:24:45,41.31
2017/09/08,11:24:46,41.31
2017/09/08,11:24:47,41.31
2017/09/08,11:24:48,41.31
2017/09/08,11:24:49,41.64
2017/09/08,11:24:50,41.64
2017/09/08,11:24:51,41.64
2017/09/08,11:24:52,41.64
2017/09/08,11:24:53,41.64
2017/09/08,11:24:54,41.64
2017/09/08,11:24:55,41.64
2017/09/08,11:24:56,41.64
2017/09/08,11:24:57,41.64
2017/09/08,11:24:58,41.64
2017/09/08,11:24:59,41.64
2017/09/08,11:25:00,41.64
2017/09/08,11:25:01,41.64
2017/09/08,11:25:02,41.64
2017/09/08,11:25:03,41.64
2017/09/08,11:25:04,41.64
2017/09/08,11:25:05,41.64
2017/09/08,11:25:06,41.31
2017/09/08,11:25:07,41.31
2017/09/08,11:25:08,41.31
2017/09/08,11:25:09,41.31
2017/09/08,11:25:10,41.31
2017/09/08,11:25:11,41.31
2017/09/08,11:25:12,41.31
2017/09/08,11:25:13,41.31
2017/09/08,11:25:14,41.31
2017/09/08,11:25:15,41.31
2017/09/08,11:25:16,41.31
2017/09/08,11:25:17,41.31
2017/09/08,11:25:18,40.98
2017/09/08,11:25:19,40.98
2017/09/08,11:25:20,40.98
2017/09/08,11:25:21,40.98
2017/09/08,11:25:22,40.98
2017/09/08,11:25:23,40.98
2017/09/08,11:25:24,40.98
2017/09/08,11:25:25,40.98
2017/09/08,11:25:26,40.98
2017/09/08,11:25:27,40.98
2017/09/08,11:25:28,40.98
2017/09/08,11:25:29,40.65
2017/09/08,11:25:30,40.65
2017/09/08,11:25:31,40.65
2017/09/08,11:25:32,40.65
2017/09/08,11:25:33,40.65
2017/09/08,11:25:34,40.32
2017/09/08,11:25:35,40.32
2017/09/08,11:25:36,39.66
2017/09/08,11:25:37,39.33
2017/09/08,11:25:38,39.33
2017/09/08,11:25:39,38.99
2017/09/08,11:25:40,38.99
2017/09/08,11:25:41,38.99
2017/09/08,11:25:42,38.99
2017/09/08,11:25:43,38.99
2017/09/08,11:25:44,38.99
2017/09/08,11:25:45,38.99
2017/09/08,11:25:46,38.99
2017/09/08,11:25:47,39.33
2017/09/08,11:25:48,39.33
2017/09/08,11:25:49,39.33
2017/09/08,11:25:50,39.33
2017/09/08,11:25:51,39.66
2017/09/08,11:25:52,39.66
2017/09/08,11:25:53,39.99
2017/09/08,11:25:54,39.99
2017/09/08,11:25:55,39.99
2017/09/08,11:25:56,39.66
2017/09/08,11:25:57,39.66
2017/09/08,11:25:58,39.99
2017/09/08,11:25:59,39.99
2017/09/08,11:26:00,39.99
2017/09/08,11:26:01,39.99
2017/09/08,11:26:02,39.99
2017/09/08,11:26:03,39.99
2017/09/08,11:26:04,39.99
2017/09/08,11:26:05,39.99
2017/09/08,11:26:06,39.99
2017/09/08,11:26:07,39.99
2017/09/08,11:26:08,40.32
2017/09/08,11:26:09,40.32
2017/09/08,11:26:10,40.32
2017/09/08,11:26:11,40.32
2017/09/08,11:26:12,40.32
2017/09/08,11:26:13,40.65
2017/09/08,11:26:14,40.65
2017/09/08,11:26:15,40.65
2017/09/08,11:26:16,40.65
2017/09/08,11:26:17,40.65
2017/09/08,11:26:18,40.98
2017/09/08,11:26:19,40.98
2017/09/08,11:26:20,40.98
2017/09/08,11:26:21,41.31
