"Date","Time, GMT-04:00","K-Type, °C (LGR S/N: 2256868)"
2017/07/12,09:44:10,29.67
2017/07/12,09:44:11,29.34
2017/07/12,09:44:12,29.34
2017/07/12,09:44:13,29.67
2017/07/12,09:44:14,29.67
2017/07/12,09:44:15,29.67
2017/07/12,09:44:16,30.01
2017/07/12,09:44:17,30.01
2017/07/12,09:44:18,30.01
2017/07/12,09:44:19,30.01
2017/07/12,09:44:20,29.67
2017/07/12,09:44:21,29.67
2017/07/12,09:44:22,29.67
2017/07/12,09:44:23,29.34
2017/07/12,09:44:24,29.34
2017/07/12,09:44:25,29.34
2017/07/12,09:44:26,29.34
2017/07/12,09:44:27,29.34
2017/07/12,09:44:28,29.34
2017/07/12,09:44:29,29.34
2017/07/12,09:44:30,29.34
2017/07/12,09:44:31,29.34
2017/07/12,09:44:32,29.67
2017/07/12,09:44:33,30.01
2017/07/12,09:44:34,30.01
2017/07/12,09:44:35,30.34
2017/07/12,09:44:36,30.01
2017/07/12,09:44:37,30.01
2017/07/12,09:44:38,30.01
2017/07/12,09:44:39,30.34
2017/07/12,09:44:40,30.68
2017/07/12,09:44:41,30.34
2017/07/12,09:44:42,30.34
2017/07/12,09:44:43,30.01
2017/07/12,09:44:44,30.01
2017/07/12,09:44:45,30.34
2017/07/12,09:44:46,30.01
2017/07/12,09:44:47,30.01
2017/07/12,09:44:48,30.34
2017/07/12,09:44:49,30.34
2017/07/12,09:44:50,30.68
2017/07/12,09:44:51,31.01
2017/07/12,09:44:52,31.01
2017/07/12,09:44:53,31.01
2017/07/12,09:44:54,31.34
2017/07/12,09:44:55,31.34
2017/07/12,09:44:56,31.34
2017/07/12,09:44:57,31.34
2017/07/12,09:44:58,31.34
2017/07/12,09:44:59,31.34
2017/07/12,09:45:00,31.01
2017/07/12,09:45:01,30.68
2017/07/12,09:45:02,30.68
2017/07/12,09:45:03,30.68
2017/07/12,09:45:04,30.34
2017/07/12,09:45:05,30.01
2017/07/12,09:45:06,30.01
2017/07/12,09:45:07,30.34
2017/07/12,09:45:08,30.68
2017/07/12,09:45:09,30.68
2017/07/12,09:45:10,30.68
2017/07/12,09:45:11,30.01
2017/07/12,09:45:12,29.34
2017/07/12,09:45:13,29.01
2017/07/12,09:45:14,29.01
2017/07/12,09:45:15,29.34
2017/07/12,09:45:16,29.67
2017/07/12,09:45:17,30.01
2017/07/12,09:45:18,29.67
2017/07/12,09:45:19,30.34
2017/07/12,09:45:20,30.34
2017/07/12,09:45:21,30.34
2017/07/12,09:45:22,30.34
2017/07/12,09:45:23,30.34
2017/07/12,09:45:24,30.01
2017/07/12,09:45:25,30.01
2017/07/12,09:45:26,29.67
2017/07/12,09:45:27,29.34
2017/07/12,09:45:28,29.01
2017/07/12,09:45:29,28.67
2017/07/12,09:45:30,28.67
2017/07/12,09:45:31,28.34
2017/07/12,09:45:32,28.67
2017/07/12,09:45:33,28.34
2017/07/12,09:45:34,28.34
2017/07/12,09:45:35,28.00
2017/07/12,09:45:36,28.34
2017/07/12,09:45:37,28.34
2017/07/12,09:45:38,29.01
2017/07/12,09:45:39,29.01
2017/07/12,09:45:40,29.34
2017/07/12,09:45:41,29.34
2017/07/12,09:45:42,29.67
2017/07/12,09:45:43,29.67
2017/07/12,09:45:44,30.01
2017/07/12,09:45:45,29.67
2017/07/12,09:45:46,29.67
2017/07/12,09:45:47,29.67
2017/07/12,09:45:48,29.34
2017/07/12,09:45:49,29.34
2017/07/12,09:45:50,29.34
2017/07/12,09:45:51,29.34
2017/07/12,09:45:52,29.34
2017/07/12,09:45:53,29.34
2017/07/12,09:45:54,29.34
2017/07/12,09:45:55,29.01
2017/07/12,09:45:56,28.67
2017/07/12,09:45:57,28.67
2017/07/12,09:45:58,28.67
2017/07/12,09:45:59,29.01
2017/07/12,09:46:00,29.01
2017/07/12,09:46:01,29.01
2017/07/12,09:46:02,29.01
2017/07/12,09:46:03,28.67
2017/07/12,09:46:04,29.01
2017/07/12,09:46:05,29.01
2017/07/12,09:46:06,29.01
2017/07/12,09:46:07,29.34
2017/07/12,09:46:08,29.34
2017/07/12,09:46:09,29.01
2017/07/12,09:46:10,29.01
2017/07/12,09:46:11,29.01
2017/07/12,09:46:12,29.01
2017/07/12,09:46:13,29.01
2017/07/12,09:46:14,29.01
2017/07/12,09:46:15,29.01
2017/07/12,09:46:16,29.34
2017/07/12,09:46:17,29.01
2017/07/12,09:46:18,29.01
2017/07/12,09:46:19,29.01
2017/07/12,09:46:20,28.67
2017/07/12,09:46:21,28.67
2017/07/12,09:46:22,28.67
2017/07/12,09:46:23,28.67
2017/07/12,09:46:24,29.01
2017/07/12,09:46:25,29.01
2017/07/12,09:46:26,28.67
2017/07/12,09:46:27,29.01
2017/07/12,09:46:28,28.67
2017/07/12,09:46:29,28.67
2017/07/12,09:46:30,29.01
2017/07/12,09:46:31,29.34
2017/07/12,09:46:32,29.34
2017/07/12,09:46:33,29.01
2017/07/12,09:46:34,29.01
2017/07/12,09:46:35,29.01
2017/07/12,09:46:36,29.01
2017/07/12,09:46:37,29.01
2017/07/12,09:46:38,29.01
2017/07/12,09:46:39,28.67
2017/07/12,09:46:40,28.34
2017/07/12,09:46:41,28.34
2017/07/12,09:46:42,28.34
2017/07/12,09:46:43,28.67
2017/07/12,09:46:44,29.01
2017/07/12,09:46:45,29.34
2017/07/12,09:46:46,29.34
2017/07/12,09:46:47,29.67
2017/07/12,09:46:48,29.67
2017/07/12,09:46:49,29.34
2017/07/12,09:46:50,29.34
2017/07/12,09:46:51,29.67
2017/07/12,09:46:52,29.67
2017/07/12,09:46:53,29.34
2017/07/12,09:46:54,29.01
2017/07/12,09:46:55,29.01
2017/07/12,09:46:56,28.67
2017/07/12,09:46:57,28.67
2017/07/12,09:46:58,29.01
2017/07/12,09:46:59,29.01
2017/07/12,09:47:00,29.01
2017/07/12,09:47:01,29.01
2017/07/12,09:47:02,28.67
2017/07/12,09:47:03,28.34
2017/07/12,09:47:04,28.00
2017/07/12,09:47:05,28.00
2017/07/12,09:47:06,28.00
2017/07/12,09:47:07,28.34
2017/07/12,09:47:08,28.00
2017/07/12,09:47:09,28.34
2017/07/12,09:47:10,28.34
2017/07/12,09:47:11,28.34
2017/07/12,09:47:12,28.34
2017/07/12,09:47:13,28.67
2017/07/12,09:47:14,28.67
2017/07/12,09:47:15,28.67
2017/07/12,09:47:16,28.67
2017/07/12,09:47:17,28.67
2017/07/12,09:47:18,29.01
2017/07/12,09:47:19,29.01
2017/07/12,09:47:20,29.01
2017/07/12,09:47:21,29.01
2017/07/12,09:47:22,29.01
2017/07/12,09:47:23,28.67
2017/07/12,09:47:24,28.67
2017/07/12,09:47:25,28.67
2017/07/12,09:47:26,28.67
2017/07/12,09:47:27,28.67
2017/07/12,09:47:28,28.67
2017/07/12,09:47:29,28.67
2017/07/12,09:47:30,28.67
2017/07/12,09:47:31,28.67
2017/07/12,09:47:32,28.67
2017/07/12,09:47:33,28.67
2017/07/12,09:47:34,28.67
2017/07/12,09:47:35,28.67
2017/07/12,09:47:36,28.67
2017/07/12,09:47:37,28.67
2017/07/12,09:47:38,28.67
2017/07/12,09:47:39,28.67
2017/07/12,09:47:40,28.67
2017/07/12,09:47:41,28.67
2017/07/12,09:47:42,28.67
2017/07/12,09:47:43,28.67
2017/07/12,09:47:44,28.67
2017/07/12,09:47:45,29.01
2017/07/12,09:47:46,29.01
2017/07/12,09:47:47,29.01
2017/07/12,09:47:48,29.01
2017/07/12,09:47:49,29.34
2017/07/12,09:47:50,29.34
2017/07/12,09:47:51,29.34
2017/07/12,09:47:52,29.34
2017/07/12,09:47:53,29.67
2017/07/12,09:47:54,29.67
2017/07/12,09:47:55,29.67
2017/07/12,09:47:56,29.67
2017/07/12,09:47:57,29.67
2017/07/12,09:47:58,29.67
2017/07/12,09:47:59,29.67
2017/07/12,09:48:00,29.67
2017/07/12,09:48:01,29.67
2017/07/12,09:48:02,29.67
2017/07/12,09:48:03,29.67
2017/07/12,09:48:04,29.67
2017/07/12,09:48:05,29.67
2017/07/12,09:48:06,29.67
2017/07/12,09:48:07,29.67
2017/07/12,09:48:08,29.67
2017/07/12,09:48:09,30.01
2017/07/12,09:48:10,29.67
2017/07/12,09:48:11,29.67
2017/07/12,09:48:12,29.67
2017/07/12,09:48:13,29.67
2017/07/12,09:48:14,29.67
2017/07/12,09:48:15,29.67
2017/07/12,09:48:16,29.67
2017/07/12,09:48:17,29.67
2017/07/12,09:48:18,29.67
2017/07/12,09:48:19,29.67
2017/07/12,09:48:20,29.67
2017/07/12,09:48:21,29.34
2017/07/12,09:48:22,29.34
2017/07/12,09:48:23,29.34
2017/07/12,09:48:24,29.34
2017/07/12,09:48:25,29.34
2017/07/12,09:48:26,29.67
2017/07/12,09:48:27,29.34
2017/07/12,09:48:28,29.34
2017/07/12,09:48:29,29.34
