"Date","Time, GMT-04:00","K-Type, °C"
2017/09/08,11:25:17,32.01
2017/09/08,11:25:18,32.01
2017/09/08,11:25:19,32.01
2017/09/08,11:25:20,32.01
2017/09/08,11:25:21,32.01
2017/09/08,11:25:22,32.01
2017/09/08,11:25:23,32.01
2017/09/08,11:25:24,32.35
2017/09/08,11:25:25,32.35
2017/09/08,11:25:26,32.68
2017/09/08,11:25:27,33.01
2017/09/08,11:25:28,32.68
2017/09/08,11:25:29,33.01
2017/09/08,11:25:30,32.68
2017/09/08,11:25:31,32.35
2017/09/08,11:25:32,32.35
2017/09/08,11:25:33,32.35
2017/09/08,11:25:34,32.35
2017/09/08,11:25:35,32.35
2017/09/08,11:25:36,32.68
2017/09/08,11:25:37,32.68
2017/09/08,11:25:38,33.35
2017/09/08,11:25:39,33.68
2017/09/08,11:25:40,34.01
2017/09/08,11:25:41,34.01
2017/09/08,11:25:42,34.34
2017/09/08,11:25:43,34.01
2017/09/08,11:25:44,33.68
2017/09/08,11:25:45,33.35
2017/09/08,11:25:46,34.01
2017/09/08,11:25:47,34.01
2017/09/08,11:25:48,34.01
2017/09/08,11:25:49,34.01
2017/09/08,11:25:50,33.68
2017/09/08,11:25:51,33.35
2017/09/08,11:25:52,33.01
2017/09/08,11:25:53,33.01
2017/09/08,11:25:54,33.01
2017/09/08,11:25:55,32.68
2017/09/08,11:25:56,32.68
2017/09/08,11:25:57,32.68
2017/09/08,11:25:58,32.35
2017/09/08,11:25:59,32.35
2017/09/08,11:26:00,32.01
2017/09/08,11:26:01,31.68
2017/09/08,11:26:02,31.68
2017/09/08,11:26:03,31.68
2017/09/08,11:26:04,31.68
2017/09/08,11:26:05,31.68
2017/09/08,11:26:06,31.68
2017/09/08,11:26:07,31.68
2017/09/08,11:26:08,31.68
2017/09/08,11:26:09,31.34
2017/09/08,11:26:10,31.68
2017/09/08,11:26:11,32.01
2017/09/08,11:26:12,32.35
2017/09/08,11:26:13,32.35
2017/09/08,11:26:14,32.35
2017/09/08,11:26:15,32.68
2017/09/08,11:26:16,33.01
2017/09/08,11:26:17,33.01
2017/09/08,11:26:18,33.01
2017/09/08,11:26:19,33.35
2017/09/08,11:26:20,33.01
2017/09/08,11:26:21,32.35
2017/09/08,11:26:22,31.68
2017/09/08,11:26:23,32.01
2017/09/08,11:26:24,32.01
2017/09/08,11:26:25,32.35
2017/09/08,11:26:26,32.35
2017/09/08,11:26:27,32.35
2017/09/08,11:26:28,32.35
2017/09/08,11:26:29,32.68
2017/09/08,11:26:30,32.68
2017/09/08,11:26:31,32.35
2017/09/08,11:26:32,32.35
2017/09/08,11:26:33,32.68
2017/09/08,11:26:34,32.68
2017/09/08,11:26:35,32.68
2017/09/08,11:26:36,33.01
2017/09/08,11:26:37,33.01
2017/09/08,11:26:38,33.01
2017/09/08,11:26:39,32.68
2017/09/08,11:26:40,32.68
