"Date","Time, GMT-04:00","K-Type, °C"
2017/12/01,15:07:24,27.33
2017/12/01,15:07:25,27.67
2017/12/01,15:07:26,27.33
2017/12/01,15:07:27,27.67
2017/12/01,15:07:28,27.33
2017/12/01,15:07:29,27.33
2017/12/01,15:07:30,27.33
2017/12/01,15:07:31,27.33
2017/12/01,15:07:32,27.33
2017/12/01,15:07:33,27.00
2017/12/01,15:07:34,27.00
2017/12/01,15:07:35,27.00
2017/12/01,15:07:36,27.00
2017/12/01,15:07:37,27.00
2017/12/01,15:07:38,27.00
2017/12/01,15:07:39,27.33
2017/12/01,15:07:40,27.33
2017/12/01,15:07:41,27.33
2017/12/01,15:07:42,27.33
2017/12/01,15:07:43,27.33
2017/12/01,15:07:44,27.67
2017/12/01,15:07:45,27.67
2017/12/01,15:07:46,27.67
2017/12/01,15:07:47,27.67
2017/12/01,15:07:48,27.67
2017/12/01,15:07:49,27.67
2017/12/01,15:07:50,27.67
2017/12/01,15:07:51,27.67
2017/12/01,15:07:52,27.67
2017/12/01,15:07:53,27.67
2017/12/01,15:07:54,27.67
2017/12/01,15:07:55,28.00
2017/12/01,15:07:56,28.00
2017/12/01,15:07:57,28.00
2017/12/01,15:07:58,28.00
2017/12/01,15:07:59,28.00
2017/12/01,15:08:00,28.00
2017/12/01,15:08:01,28.00
2017/12/01,15:08:02,28.00
2017/12/01,15:08:03,28.00
2017/12/01,15:08:04,28.00
2017/12/01,15:08:05,28.34
2017/12/01,15:08:06,28.34
2017/12/01,15:08:07,28.34
2017/12/01,15:08:08,28.67
2017/12/01,15:08:09,29.01
2017/12/01,15:08:10,29.01
2017/12/01,15:08:11,29.01
2017/12/01,15:08:12,29.34
2017/12/01,15:08:13,29.34
2017/12/01,15:08:14,29.34
2017/12/01,15:08:15,29.34
2017/12/01,15:08:16,29.67
2017/12/01,15:08:17,29.67
2017/12/01,15:08:18,29.67
2017/12/01,15:08:19,29.67
2017/12/01,15:08:20,29.67
2017/12/01,15:08:21,29.67
2017/12/01,15:08:22,29.67
2017/12/01,15:08:23,29.67
2017/12/01,15:08:24,29.67
2017/12/01,15:08:25,29.67
2017/12/01,15:08:26,30.01
2017/12/01,15:08:27,30.01
2017/12/01,15:08:28,30.01
2017/12/01,15:08:29,30.01
2017/12/01,15:08:30,30.34
2017/12/01,15:08:31,30.34
2017/12/01,15:08:32,30.34
2017/12/01,15:08:33,30.68
2017/12/01,15:08:34,30.68
2017/12/01,15:08:35,30.34
2017/12/01,15:08:36,30.68
2017/12/01,15:08:37,30.68
2017/12/01,15:08:38,30.68
2017/12/01,15:08:39,30.34
2017/12/01,15:08:40,30.34
2017/12/01,15:08:41,30.34
2017/12/01,15:08:42,30.01
2017/12/01,15:08:43,30.01
2017/12/01,15:08:44,30.01
2017/12/01,15:08:45,29.67
2017/12/01,15:08:46,29.67
2017/12/01,15:08:47,29.67
2017/12/01,15:08:48,29.34
2017/12/01,15:08:49,29.34
2017/12/01,15:08:50,29.01
2017/12/01,15:08:51,29.01
2017/12/01,15:08:52,29.01
2017/12/01,15:08:53,29.01
2017/12/01,15:08:54,29.01
