"Date","Time, GMT-05:00","K-Type, °C"
2017/12/04,12:32:27,33.35
2017/12/04,12:32:28,33.35
2017/12/04,12:32:29,33.35
2017/12/04,12:32:30,33.35
2017/12/04,12:32:31,33.35
2017/12/04,12:32:32,33.01
2017/12/04,12:32:33,32.68
2017/12/04,12:32:34,32.68
2017/12/04,12:32:35,32.35
2017/12/04,12:32:36,32.35
2017/12/04,12:32:37,32.68
2017/12/04,12:32:38,32.68
2017/12/04,12:32:39,32.68
2017/12/04,12:32:40,32.68
2017/12/04,12:32:41,32.68
2017/12/04,12:32:42,32.35
2017/12/04,12:32:43,32.35
2017/12/04,12:32:44,32.35
2017/12/04,12:32:45,32.01
2017/12/04,12:32:46,32.01
2017/12/04,12:32:47,31.68
2017/12/04,12:32:48,31.68
2017/12/04,12:32:49,31.34
2017/12/04,12:32:50,31.68
2017/12/04,12:32:51,31.68
2017/12/04,12:32:52,31.34
2017/12/04,12:32:53,31.34
2017/12/04,12:32:54,31.34
2017/12/04,12:32:55,31.68
2017/12/04,12:32:56,31.68
2017/12/04,12:32:57,32.01
2017/12/04,12:32:58,32.01
2017/12/04,12:32:59,32.35
2017/12/04,12:33:00,32.35
2017/12/04,12:33:01,32.35
2017/12/04,12:33:02,32.68
2017/12/04,12:33:03,32.68
2017/12/04,12:33:04,32.68
2017/12/04,12:33:05,32.35
2017/12/04,12:33:06,32.68
2017/12/04,12:33:07,32.68
2017/12/04,12:33:08,33.01
2017/12/04,12:33:09,33.01
2017/12/04,12:33:10,33.01
2017/12/04,12:33:11,33.01
2017/12/04,12:33:12,32.68
2017/12/04,12:33:13,33.01
2017/12/04,12:33:14,33.35
2017/12/04,12:33:15,33.35
2017/12/04,12:33:16,33.35
2017/12/04,12:33:17,33.35
2017/12/04,12:33:18,33.35
2017/12/04,12:33:19,33.35
2017/12/04,12:33:20,33.35
2017/12/04,12:33:21,33.68
2017/12/04,12:33:22,33.68
2017/12/04,12:33:23,34.01
2017/12/04,12:33:24,34.34
2017/12/04,12:33:25,34.34
2017/12/04,12:33:26,34.34
2017/12/04,12:33:27,34.01
2017/12/04,12:33:28,34.01
2017/12/04,12:33:29,34.01
2017/12/04,12:33:30,34.01
2017/12/04,12:33:31,34.34
2017/12/04,12:33:32,34.34
2017/12/04,12:33:33,34.34
2017/12/04,12:33:34,34.34
2017/12/04,12:33:35,34.68
2017/12/04,12:33:36,34.34
2017/12/04,12:33:37,34.34
2017/12/04,12:33:38,34.34
2017/12/04,12:33:39,34.34
2017/12/04,12:33:40,34.01
2017/12/04,12:33:41,34.01
2017/12/04,12:33:42,33.68
2017/12/04,12:33:43,33.35
2017/12/04,12:33:44,33.01
2017/12/04,12:33:45,33.01
2017/12/04,12:33:46,33.01
2017/12/04,12:33:47,32.68
2017/12/04,12:33:48,32.68
2017/12/04,12:33:49,32.35
2017/12/04,12:33:50,32.35
2017/12/04,12:33:51,32.35
2017/12/04,12:33:52,32.01
2017/12/04,12:33:53,31.68
2017/12/04,12:33:54,31.34
2017/12/04,12:33:55,31.01
2017/12/04,12:33:56,30.68
2017/12/04,12:33:57,30.34
2017/12/04,12:33:58,30.01
2017/12/04,12:33:59,30.01
2017/12/04,12:34:00,29.67
2017/12/04,12:34:01,29.67
2017/12/04,12:34:02,29.67
2017/12/04,12:34:03,29.67
2017/12/04,12:34:04,29.34
2017/12/04,12:34:05,29.01
2017/12/04,12:34:06,29.01
2017/12/04,12:34:07,29.01
2017/12/04,12:34:08,29.01
2017/12/04,12:34:09,29.01
2017/12/04,12:34:10,28.67
2017/12/04,12:34:11,28.67
2017/12/04,12:34:12,28.67
2017/12/04,12:34:13,28.34
2017/12/04,12:34:14,28.34
2017/12/04,12:34:15,28.00
2017/12/04,12:34:16,28.00
2017/12/04,12:34:17,28.00
2017/12/04,12:34:18,28.00
2017/12/04,12:34:19,28.00
2017/12/04,12:34:20,28.00
2017/12/04,12:34:21,27.67
2017/12/04,12:34:22,27.67
2017/12/04,12:34:23,28.00
2017/12/04,12:34:24,28.00
2017/12/04,12:34:25,28.00
2017/12/04,12:34:26,28.00
2017/12/04,12:34:27,28.00
2017/12/04,12:34:28,28.00
2017/12/04,12:34:29,28.00
2017/12/04,12:34:30,28.00
2017/12/04,12:34:31,27.67
2017/12/04,12:34:32,28.00
2017/12/04,12:34:33,28.00
2017/12/04,12:34:34,28.00
2017/12/04,12:34:35,28.00
2017/12/04,12:34:36,28.00
2017/12/04,12:34:37,28.00
2017/12/04,12:34:38,28.00
2017/12/04,12:34:39,28.34
2017/12/04,12:34:40,28.34
2017/12/04,12:34:41,28.34
2017/12/04,12:34:42,28.34
2017/12/04,12:34:43,28.34
2017/12/04,12:34:44,28.34
2017/12/04,12:34:45,28.34
2017/12/04,12:34:46,28.34
2017/12/04,12:34:47,28.67
2017/12/04,12:34:48,28.67
2017/12/04,12:34:49,29.01
2017/12/04,12:34:50,29.34
2017/12/04,12:34:51,29.34
2017/12/04,12:34:52,29.34
2017/12/04,12:34:53,29.01
2017/12/04,12:34:54,29.34
2017/12/04,12:34:55,29.34
2017/12/04,12:34:56,29.34
2017/12/04,12:34:57,29.34
2017/12/04,12:34:58,29.34
2017/12/04,12:34:59,29.01
2017/12/04,12:35:00,29.01
2017/12/04,12:35:01,29.01
2017/12/04,12:35:02,29.01
2017/12/04,12:35:03,28.67
2017/12/04,12:35:04,28.67
2017/12/04,12:35:05,28.67
2017/12/04,12:35:06,28.34
2017/12/04,12:35:07,28.34
2017/12/04,12:35:08,28.34
2017/12/04,12:35:09,28.34
2017/12/04,12:35:10,28.34
2017/12/04,12:35:11,28.34
2017/12/04,12:35:12,28.34
2017/12/04,12:35:13,28.67
2017/12/04,12:35:14,28.34
2017/12/04,12:35:15,28.67
2017/12/04,12:35:16,28.67
2017/12/04,12:35:17,28.67
2017/12/04,12:35:18,28.67
2017/12/04,12:35:19,28.67
2017/12/04,12:35:20,28.67
2017/12/04,12:35:21,29.01
2017/12/04,12:35:22,28.67
2017/12/04,12:35:23,29.01
2017/12/04,12:35:24,29.01
2017/12/04,12:35:25,29.01
2017/12/04,12:35:26,29.01
2017/12/04,12:35:27,29.01
2017/12/04,12:35:28,29.01
2017/12/04,12:35:29,29.34
2017/12/04,12:35:30,29.34
2017/12/04,12:35:31,29.67
2017/12/04,12:35:32,29.67
2017/12/04,12:35:33,30.01
2017/12/04,12:35:34,30.01
2017/12/04,12:35:35,30.01
2017/12/04,12:35:36,29.67
2017/12/04,12:35:37,29.67
2017/12/04,12:35:38,29.34
