"Date","Time, GMT-04:00","K-Type, °C"
2017/12/01,15:10:40,30.68
2017/12/01,15:10:41,30.68
2017/12/01,15:10:42,31.01
2017/12/01,15:10:43,31.01
2017/12/01,15:10:44,31.01
2017/12/01,15:10:45,31.34
2017/12/01,15:10:46,31.34
2017/12/01,15:10:47,31.34
2017/12/01,15:10:48,31.34
2017/12/01,15:10:49,31.34
2017/12/01,15:10:50,31.34
2017/12/01,15:10:51,31.34
2017/12/01,15:10:52,31.68
2017/12/01,15:10:53,31.68
2017/12/01,15:10:54,31.34
2017/12/01,15:10:55,31.68
2017/12/01,15:10:56,31.34
2017/12/01,15:10:57,31.34
2017/12/01,15:10:58,31.01
2017/12/01,15:10:59,31.01
2017/12/01,15:11:00,31.01
2017/12/01,15:11:01,30.68
2017/12/01,15:11:02,30.68
2017/12/01,15:11:03,30.34
2017/12/01,15:11:04,30.34
2017/12/01,15:11:05,30.34
2017/12/01,15:11:06,30.34
2017/12/01,15:11:07,30.01
2017/12/01,15:11:08,30.01
2017/12/01,15:11:09,30.01
2017/12/01,15:11:10,30.01
2017/12/01,15:11:11,30.01
2017/12/01,15:11:12,30.01
2017/12/01,15:11:13,30.01
2017/12/01,15:11:14,30.01
2017/12/01,15:11:15,30.01
2017/12/01,15:11:16,30.01
2017/12/01,15:11:17,29.67
2017/12/01,15:11:18,29.34
2017/12/01,15:11:19,29.34
2017/12/01,15:11:20,29.01
2017/12/01,15:11:21,29.01
2017/12/01,15:11:22,29.01
2017/12/01,15:11:23,29.01
2017/12/01,15:11:24,28.67
2017/12/01,15:11:25,28.67
2017/12/01,15:11:26,28.67
2017/12/01,15:11:27,28.67
2017/12/01,15:11:28,28.67
2017/12/01,15:11:29,28.67
2017/12/01,15:11:30,28.67
2017/12/01,15:11:31,28.34
2017/12/01,15:11:32,28.34
2017/12/01,15:11:33,28.34
2017/12/01,15:11:34,28.34
2017/12/01,15:11:35,28.34
2017/12/01,15:11:36,28.67
2017/12/01,15:11:37,28.67
2017/12/01,15:11:38,28.67
2017/12/01,15:11:39,28.67
2017/12/01,15:11:40,28.67
2017/12/01,15:11:41,29.01
2017/12/01,15:11:42,29.01
2017/12/01,15:11:43,29.01
2017/12/01,15:11:44,29.34
2017/12/01,15:11:45,29.34
2017/12/01,15:11:46,29.34
2017/12/01,15:11:47,29.34
2017/12/01,15:11:48,29.34
2017/12/01,15:11:49,29.67
2017/12/01,15:11:50,29.34
2017/12/01,15:11:51,29.34
