"Date","Time, GMT-05:00","K-Type, °C"
2017/12/04,12:28:40,25.32
2017/12/04,12:28:41,25.32
2017/12/04,12:28:42,25.32
2017/12/04,12:28:43,25.32
2017/12/04,12:28:44,25.32
2017/12/04,12:28:45,25.32
2017/12/04,12:28:46,25.65
2017/12/04,12:28:47,25.65
2017/12/04,12:28:48,25.65
2017/12/04,12:28:49,25.65
2017/12/04,12:28:50,25.65
2017/12/04,12:28:51,25.65
2017/12/04,12:28:52,25.65
2017/12/04,12:28:53,25.65
2017/12/04,12:28:54,25.65
2017/12/04,12:28:55,25.99
2017/12/04,12:28:56,25.99
2017/12/04,12:28:57,25.99
2017/12/04,12:28:58,25.99
2017/12/04,12:28:59,25.99
2017/12/04,12:29:00,25.99
2017/12/04,12:29:01,25.99
2017/12/04,12:29:02,25.99
2017/12/04,12:29:03,26.33
2017/12/04,12:29:04,25.99
2017/12/04,12:29:05,26.33
2017/12/04,12:29:06,25.99
2017/12/04,12:29:07,25.99
2017/12/04,12:29:08,25.99
2017/12/04,12:29:09,25.99
2017/12/04,12:29:10,25.99
2017/12/04,12:29:11,25.99
2017/12/04,12:29:12,25.65
2017/12/04,12:29:13,25.65
2017/12/04,12:29:14,25.65
2017/12/04,12:29:15,25.65
2017/12/04,12:29:16,25.65
2017/12/04,12:29:17,25.65
2017/12/04,12:29:18,25.65
2017/12/04,12:29:19,25.65
2017/12/04,12:29:20,25.65
2017/12/04,12:29:21,25.65
2017/12/04,12:29:22,25.65
2017/12/04,12:29:23,25.99
2017/12/04,12:29:24,25.99
2017/12/04,12:29:25,25.99
2017/12/04,12:29:26,25.99
2017/12/04,12:29:27,25.99
2017/12/04,12:29:28,26.33
2017/12/04,12:29:29,25.99
2017/12/04,12:29:30,25.99
2017/12/04,12:29:31,25.99
2017/12/04,12:29:32,25.99
2017/12/04,12:29:33,25.99
2017/12/04,12:29:34,25.65
2017/12/04,12:29:35,25.99
2017/12/04,12:29:36,25.99
2017/12/04,12:29:37,25.99
2017/12/04,12:29:38,25.99
2017/12/04,12:29:39,25.99
2017/12/04,12:29:40,25.99
2017/12/04,12:29:41,25.99
2017/12/04,12:29:42,25.99
2017/12/04,12:29:43,25.99
2017/12/04,12:29:44,25.99
2017/12/04,12:29:45,25.99
2017/12/04,12:29:46,25.99
2017/12/04,12:29:47,25.99
2017/12/04,12:29:48,25.99
2017/12/04,12:29:49,25.99
2017/12/04,12:29:50,25.65
2017/12/04,12:29:51,25.65
2017/12/04,12:29:52,25.99
2017/12/04,12:29:53,25.99
2017/12/04,12:29:54,25.99
2017/12/04,12:29:55,25.99
2017/12/04,12:29:56,25.99
2017/12/04,12:29:57,25.99
2017/12/04,12:29:58,25.99
2017/12/04,12:29:59,26.33
2017/12/04,12:30:00,26.33
2017/12/04,12:30:01,26.33
2017/12/04,12:30:02,26.33
2017/12/04,12:30:03,26.33
2017/12/04,12:30:04,26.33
2017/12/04,12:30:05,26.33
2017/12/04,12:30:06,26.33
2017/12/04,12:30:07,26.33
2017/12/04,12:30:08,26.33
2017/12/04,12:30:09,26.33
2017/12/04,12:30:10,26.33
2017/12/04,12:30:11,26.33
2017/12/04,12:30:12,26.33
2017/12/04,12:30:13,26.33
2017/12/04,12:30:14,25.99
2017/12/04,12:30:15,25.99
2017/12/04,12:30:16,25.99
2017/12/04,12:30:17,25.99
2017/12/04,12:30:18,25.99
