"Date","Time, GMT-04:00","K-Type, °C"
2017/12/01,15:08:04,31.68
2017/12/01,15:08:05,31.68
2017/12/01,15:08:06,31.68
2017/12/01,15:08:07,31.68
2017/12/01,15:08:08,31.68
2017/12/01,15:08:09,31.68
2017/12/01,15:08:10,31.68
2017/12/01,15:08:11,31.68
2017/12/01,15:08:12,31.68
2017/12/01,15:08:13,31.68
2017/12/01,15:08:14,31.68
2017/12/01,15:08:15,31.68
2017/12/01,15:08:16,31.68
2017/12/01,15:08:17,31.68
2017/12/01,15:08:18,31.68
2017/12/01,15:08:19,31.68
2017/12/01,15:08:20,31.68
2017/12/01,15:08:21,31.68
2017/12/01,15:08:22,31.68
2017/12/01,15:08:23,31.68
2017/12/01,15:08:24,31.68
2017/12/01,15:08:25,31.68
2017/12/01,15:08:26,31.68
2017/12/01,15:08:27,31.68
2017/12/01,15:08:28,31.68
2017/12/01,15:08:29,31.68
2017/12/01,15:08:30,31.68
2017/12/01,15:08:31,31.68
2017/12/01,15:08:32,31.68
2017/12/01,15:08:33,31.68
2017/12/01,15:08:34,31.68
2017/12/01,15:08:35,31.68
2017/12/01,15:08:36,31.68
2017/12/01,15:08:37,31.68
2017/12/01,15:08:38,31.68
2017/12/01,15:08:39,31.34
2017/12/01,15:08:40,31.34
2017/12/01,15:08:41,31.34
2017/12/01,15:08:42,31.34
2017/12/01,15:08:43,31.34
2017/12/01,15:08:44,31.34
2017/12/01,15:08:45,31.01
2017/12/01,15:08:46,31.34
2017/12/01,15:08:47,31.01
2017/12/01,15:08:48,31.01
2017/12/01,15:08:49,31.34
2017/12/01,15:08:50,31.01
2017/12/01,15:08:51,31.34
2017/12/01,15:08:52,31.34
2017/12/01,15:08:53,31.34
2017/12/01,15:08:54,31.34
2017/12/01,15:08:55,31.34
2017/12/01,15:08:56,31.01
2017/12/01,15:08:57,31.34
2017/12/01,15:08:58,31.34
2017/12/01,15:08:59,31.01
2017/12/01,15:09:00,31.01
2017/12/01,15:09:01,31.01
2017/12/01,15:09:02,31.01
2017/12/01,15:09:03,31.01
2017/12/01,15:09:04,31.01
2017/12/01,15:09:05,31.01
2017/12/01,15:09:06,30.68
2017/12/01,15:09:07,31.01
2017/12/01,15:09:08,30.68
2017/12/01,15:09:09,30.68
2017/12/01,15:09:10,30.68
2017/12/01,15:09:11,30.68
2017/12/01,15:09:12,30.68
2017/12/01,15:09:13,30.68
2017/12/01,15:09:14,30.68
2017/12/01,15:09:15,30.68
2017/12/01,15:09:16,30.68
2017/12/01,15:09:17,30.34
2017/12/01,15:09:18,30.34
2017/12/01,15:09:19,30.34
2017/12/01,15:09:20,30.68
2017/12/01,15:09:21,30.68
2017/12/01,15:09:22,30.34
2017/12/01,15:09:23,30.34
2017/12/01,15:09:24,30.34
2017/12/01,15:09:25,30.34
2017/12/01,15:09:26,30.34
2017/12/01,15:09:27,30.34
2017/12/01,15:09:28,30.34
2017/12/01,15:09:29,30.34
2017/12/01,15:09:30,30.34
2017/12/01,15:09:31,30.01
2017/12/01,15:09:32,30.01
2017/12/01,15:09:33,30.01
2017/12/01,15:09:34,30.01
2017/12/01,15:09:35,30.01
2017/12/01,15:09:36,30.01
2017/12/01,15:09:37,30.01
2017/12/01,15:09:38,30.01
2017/12/01,15:09:39,30.01
2017/12/01,15:09:40,30.01
2017/12/01,15:09:41,30.01
2017/12/01,15:09:42,30.34
2017/12/01,15:09:43,30.01
2017/12/01,15:09:44,30.01
2017/12/01,15:09:45,30.01
2017/12/01,15:09:46,30.01
2017/12/01,15:09:47,30.01
2017/12/01,15:09:48,30.01
2017/12/01,15:09:49,30.01
2017/12/01,15:09:50,30.01
2017/12/01,15:09:51,30.01
2017/12/01,15:09:52,30.01
2017/12/01,15:09:53,30.01
2017/12/01,15:09:54,30.01
2017/12/01,15:09:55,30.01
2017/12/01,15:09:56,30.01
2017/12/01,15:09:57,30.01
2017/12/01,15:09:58,30.01
2017/12/01,15:09:59,30.01
2017/12/01,15:10:00,30.01
2017/12/01,15:10:01,30.01
2017/12/01,15:10:02,30.01
2017/12/01,15:10:03,30.34
2017/12/01,15:10:04,30.01
2017/12/01,15:10:05,30.34
2017/12/01,15:10:06,30.34
2017/12/01,15:10:07,30.34
2017/12/01,15:10:08,30.34
2017/12/01,15:10:09,30.34
2017/12/01,15:10:10,30.34
2017/12/01,15:10:11,30.34
2017/12/01,15:10:12,30.01
2017/12/01,15:10:13,30.01
2017/12/01,15:10:14,30.01
2017/12/01,15:10:15,30.01
2017/12/01,15:10:16,30.01
2017/12/01,15:10:17,30.01
2017/12/01,15:10:18,30.01
2017/12/01,15:10:19,30.01
2017/12/01,15:10:20,30.01
2017/12/01,15:10:21,30.01
2017/12/01,15:10:22,29.67
2017/12/01,15:10:23,29.67
2017/12/01,15:10:24,29.67
2017/12/01,15:10:25,29.67
2017/12/01,15:10:26,29.67
2017/12/01,15:10:27,29.67
2017/12/01,15:10:28,29.67
2017/12/01,15:10:29,29.34
2017/12/01,15:10:30,29.34
2017/12/01,15:10:31,29.34
2017/12/01,15:10:32,29.34
2017/12/01,15:10:33,29.34
2017/12/01,15:10:34,29.34
2017/12/01,15:10:35,29.34
2017/12/01,15:10:36,29.34
2017/12/01,15:10:37,29.34
2017/12/01,15:10:38,29.34
2017/12/01,15:10:39,29.34
2017/12/01,15:10:40,29.34
2017/12/01,15:10:41,29.34
2017/12/01,15:10:42,29.34
2017/12/01,15:10:43,29.34
2017/12/01,15:10:44,29.34
2017/12/01,15:10:45,29.34
2017/12/01,15:10:46,29.01
2017/12/01,15:10:47,29.01
2017/12/01,15:10:48,29.01
2017/12/01,15:10:49,29.01
2017/12/01,15:10:50,29.01
2017/12/01,15:10:51,29.01
2017/12/01,15:10:52,29.01
2017/12/01,15:10:53,29.01
2017/12/01,15:10:54,29.01
2017/12/01,15:10:55,28.67
2017/12/01,15:10:56,28.67
2017/12/01,15:10:57,28.67
2017/12/01,15:10:58,29.01
2017/12/01,15:10:59,29.01
2017/12/01,15:11:00,28.67
2017/12/01,15:11:01,28.67
2017/12/01,15:11:02,28.67
2017/12/01,15:11:03,28.67
2017/12/01,15:11:04,28.67
2017/12/01,15:11:05,28.67
2017/12/01,15:11:06,28.67
2017/12/01,15:11:07,28.67
2017/12/01,15:11:08,28.67
2017/12/01,15:11:09,28.67
2017/12/01,15:11:10,28.67
2017/12/01,15:11:11,28.67
2017/12/01,15:11:12,28.67
2017/12/01,15:11:13,28.67
2017/12/01,15:11:14,28.67
2017/12/01,15:11:15,28.34
2017/12/01,15:11:16,28.34
2017/12/01,15:11:17,28.67
2017/12/01,15:11:18,28.67
2017/12/01,15:11:19,28.34
2017/12/01,15:11:20,28.67
2017/12/01,15:11:21,28.67
2017/12/01,15:11:22,28.67
2017/12/01,15:11:23,28.67
2017/12/01,15:11:24,28.67
2017/12/01,15:11:25,28.67
2017/12/01,15:11:26,28.67
2017/12/01,15:11:27,28.67
2017/12/01,15:11:28,28.67
2017/12/01,15:11:29,28.67
2017/12/01,15:11:30,28.67
2017/12/01,15:11:31,28.67
2017/12/01,15:11:32,28.67
2017/12/01,15:11:33,28.67
2017/12/01,15:11:34,28.67
2017/12/01,15:11:35,28.67
2017/12/01,15:11:36,28.67
2017/12/01,15:11:37,28.67
2017/12/01,15:11:38,28.67
2017/12/01,15:11:39,28.67
2017/12/01,15:11:40,28.67
2017/12/01,15:11:41,28.67
2017/12/01,15:11:42,28.67
2017/12/01,15:11:43,28.67
2017/12/01,15:11:44,28.67
2017/12/01,15:11:45,28.67
2017/12/01,15:11:46,28.67
2017/12/01,15:11:47,28.67
2017/12/01,15:11:48,28.67
2017/12/01,15:11:49,28.67
2017/12/01,15:11:50,28.67
2017/12/01,15:11:51,28.67
2017/12/01,15:11:52,28.67
2017/12/01,15:11:53,28.67
2017/12/01,15:11:54,28.67
2017/12/01,15:11:55,28.67
2017/12/01,15:11:56,28.67
2017/12/01,15:11:57,28.67
2017/12/01,15:11:58,28.67
2017/12/01,15:11:59,28.67
2017/12/01,15:12:00,28.67
2017/12/01,15:12:01,28.67
2017/12/01,15:12:02,28.67
2017/12/01,15:12:03,28.67
2017/12/01,15:12:04,28.67
2017/12/01,15:12:05,28.67
2017/12/01,15:12:06,28.67
2017/12/01,15:12:07,28.67
2017/12/01,15:12:08,28.67
2017/12/01,15:12:09,28.67
2017/12/01,15:12:10,28.67
2017/12/01,15:12:11,28.67
2017/12/01,15:12:12,28.67
2017/12/01,15:12:13,28.34
2017/12/01,15:12:14,28.34
2017/12/01,15:12:15,28.34
2017/12/01,15:12:16,28.34
2017/12/01,15:12:17,28.34
2017/12/01,15:12:18,28.34
2017/12/01,15:12:19,28.34
2017/12/01,15:12:20,28.34
2017/12/01,15:12:21,28.34
2017/12/01,15:12:22,28.34
2017/12/01,15:12:23,28.34
2017/12/01,15:12:24,28.34
2017/12/01,15:12:25,28.00
2017/12/01,15:12:26,28.00
2017/12/01,15:12:27,28.00
2017/12/01,15:12:28,28.00
2017/12/01,15:12:29,28.00
2017/12/01,15:12:30,28.00
2017/12/01,15:12:31,28.00
2017/12/01,15:12:32,28.00
2017/12/01,15:12:33,28.00
2017/12/01,15:12:34,28.00
2017/12/01,15:12:35,28.00
2017/12/01,15:12:36,28.00
2017/12/01,15:12:37,27.67
2017/12/01,15:12:38,28.00
2017/12/01,15:12:39,28.00
2017/12/01,15:12:40,27.67
2017/12/01,15:12:41,27.67
2017/12/01,15:12:42,27.67
2017/12/01,15:12:43,27.67
2017/12/01,15:12:44,27.67
2017/12/01,15:12:45,27.67
2017/12/01,15:12:46,28.00
2017/12/01,15:12:47,28.00
2017/12/01,15:12:48,28.00
2017/12/01,15:12:49,27.67
2017/12/01,15:12:50,27.67
2017/12/01,15:12:51,28.00
2017/12/01,15:12:52,27.67
2017/12/01,15:12:53,27.67
2017/12/01,15:12:54,27.67
2017/12/01,15:12:55,27.67
2017/12/01,15:12:56,27.67
2017/12/01,15:12:57,27.67
2017/12/01,15:12:58,27.67
2017/12/01,15:12:59,27.67
2017/12/01,15:13:00,27.67
2017/12/01,15:13:01,27.67
2017/12/01,15:13:02,27.67
2017/12/01,15:13:03,27.67
2017/12/01,15:13:04,27.67
2017/12/01,15:13:05,27.67
2017/12/01,15:13:06,27.67
2017/12/01,15:13:07,27.33
2017/12/01,15:13:08,27.33
2017/12/01,15:13:09,27.67
2017/12/01,15:13:10,27.67
2017/12/01,15:13:11,27.67
2017/12/01,15:13:12,27.33
2017/12/01,15:13:13,27.33
2017/12/01,15:13:14,27.67
2017/12/01,15:13:15,27.33
2017/12/01,15:13:16,27.33
2017/12/01,15:13:17,27.33
2017/12/01,15:13:18,27.67
2017/12/01,15:13:19,27.67
2017/12/01,15:13:20,27.67
2017/12/01,15:13:21,27.67
2017/12/01,15:13:22,27.67
2017/12/01,15:13:23,27.67
2017/12/01,15:13:24,27.67
2017/12/01,15:13:25,27.67
2017/12/01,15:13:26,27.67
2017/12/01,15:13:27,27.67
2017/12/01,15:13:28,27.67
2017/12/01,15:13:29,28.00
2017/12/01,15:13:30,28.00
2017/12/01,15:13:31,28.00
2017/12/01,15:13:32,28.00
2017/12/01,15:13:33,28.00
2017/12/01,15:13:34,28.34
2017/12/01,15:13:35,28.00
2017/12/01,15:13:36,28.34
2017/12/01,15:13:37,28.34
2017/12/01,15:13:38,28.34
2017/12/01,15:13:39,28.34
2017/12/01,15:13:40,28.34
2017/12/01,15:13:41,28.34
2017/12/01,15:13:42,28.34
2017/12/01,15:13:43,28.34
2017/12/01,15:13:44,28.34
2017/12/01,15:13:45,28.34
2017/12/01,15:13:46,28.34
2017/12/01,15:13:47,28.34
2017/12/01,15:13:48,28.34
2017/12/01,15:13:49,28.67
2017/12/01,15:13:50,28.67
2017/12/01,15:13:51,28.67
2017/12/01,15:13:52,28.67
2017/12/01,15:13:53,28.67
2017/12/01,15:13:54,28.67
2017/12/01,15:13:55,28.67
2017/12/01,15:13:56,28.67
2017/12/01,15:13:57,28.67
2017/12/01,15:13:58,28.67
2017/12/01,15:13:59,28.67
2017/12/01,15:14:00,28.67
2017/12/01,15:14:01,28.67
2017/12/01,15:14:02,28.67
2017/12/01,15:14:03,28.67
2017/12/01,15:14:04,28.67
2017/12/01,15:14:05,29.01
2017/12/01,15:14:06,29.01
2017/12/01,15:14:07,29.01
2017/12/01,15:14:08,29.01
2017/12/01,15:14:09,29.01
2017/12/01,15:14:10,29.01
2017/12/01,15:14:11,29.01
2017/12/01,15:14:12,29.01
2017/12/01,15:14:13,29.01
2017/12/01,15:14:14,29.01
2017/12/01,15:14:15,29.01
2017/12/01,15:14:16,29.01
2017/12/01,15:14:17,29.01
2017/12/01,15:14:18,29.01
2017/12/01,15:14:19,29.01
2017/12/01,15:14:20,29.01
2017/12/01,15:14:21,29.01
2017/12/01,15:14:22,29.01
2017/12/01,15:14:23,29.01
2017/12/01,15:14:24,29.01
2017/12/01,15:14:25,29.01
2017/12/01,15:14:26,29.01
2017/12/01,15:14:27,29.01
2017/12/01,15:14:28,29.01
2017/12/01,15:14:29,29.01
2017/12/01,15:14:30,28.67
2017/12/01,15:14:31,29.01
2017/12/01,15:14:32,28.67
2017/12/01,15:14:33,28.67
2017/12/01,15:14:34,28.67
2017/12/01,15:14:35,28.34
2017/12/01,15:14:36,28.34
2017/12/01,15:14:37,28.34
2017/12/01,15:14:38,28.00
2017/12/01,15:14:39,28.00
2017/12/01,15:14:40,28.00
2017/12/01,15:14:41,28.00
2017/12/01,15:14:42,27.67
2017/12/01,15:14:43,27.67
2017/12/01,15:14:44,27.67
2017/12/01,15:14:45,27.67
2017/12/01,15:14:46,27.67
2017/12/01,15:14:47,27.67
2017/12/01,15:14:48,27.67
2017/12/01,15:14:49,27.33
2017/12/01,15:14:50,27.33
2017/12/01,15:14:51,27.33
2017/12/01,15:14:52,27.33
2017/12/01,15:14:53,27.33
2017/12/01,15:14:54,27.33
2017/12/01,15:14:55,27.33
2017/12/01,15:14:56,27.00
2017/12/01,15:14:57,27.00
2017/12/01,15:14:58,27.00
2017/12/01,15:14:59,27.00
2017/12/01,15:15:00,27.00
2017/12/01,15:15:01,27.00
2017/12/01,15:15:02,27.00
2017/12/01,15:15:03,27.00
2017/12/01,15:15:04,27.00
2017/12/01,15:15:05,27.00
2017/12/01,15:15:06,27.00
2017/12/01,15:15:07,26.66
2017/12/01,15:15:08,27.00
2017/12/01,15:15:09,26.66
2017/12/01,15:15:10,26.66
2017/12/01,15:15:11,26.66
2017/12/01,15:15:12,26.66
2017/12/01,15:15:13,26.66
2017/12/01,15:15:14,26.66
2017/12/01,15:15:15,26.66
2017/12/01,15:15:16,26.66
2017/12/01,15:15:17,26.66
2017/12/01,15:15:18,26.66
2017/12/01,15:15:19,26.66
2017/12/01,15:15:20,26.66
2017/12/01,15:15:21,26.66
2017/12/01,15:15:22,26.66
2017/12/01,15:15:23,26.33
2017/12/01,15:15:24,26.33
2017/12/01,15:15:25,26.33
2017/12/01,15:15:26,26.66
2017/12/01,15:15:27,26.66
2017/12/01,15:15:28,26.66
2017/12/01,15:15:29,26.33
2017/12/01,15:15:30,26.66
2017/12/01,15:15:31,26.33
2017/12/01,15:15:32,26.33
2017/12/01,15:15:33,26.33
2017/12/01,15:15:34,26.33
2017/12/01,15:15:35,26.33
2017/12/01,15:15:36,26.33
2017/12/01,15:15:37,26.33
2017/12/01,15:15:38,26.33
2017/12/01,15:15:39,26.33
2017/12/01,15:15:40,26.33
2017/12/01,15:15:41,26.33
2017/12/01,15:15:42,26.66
2017/12/01,15:15:43,26.33
2017/12/01,15:15:44,26.66
2017/12/01,15:15:45,26.66
2017/12/01,15:15:46,26.66
2017/12/01,15:15:47,26.66
2017/12/01,15:15:48,26.66
2017/12/01,15:15:49,26.66
2017/12/01,15:15:50,26.66
2017/12/01,15:15:51,26.66
2017/12/01,15:15:52,26.66
2017/12/01,15:15:53,26.66
2017/12/01,15:15:54,26.66
2017/12/01,15:15:55,26.66
2017/12/01,15:15:56,26.66
2017/12/01,15:15:57,27.00
2017/12/01,15:15:58,27.00
2017/12/01,15:15:59,27.00
2017/12/01,15:16:00,27.00
2017/12/01,15:16:01,27.00
2017/12/01,15:16:02,27.33
2017/12/01,15:16:03,27.00
2017/12/01,15:16:04,27.33
2017/12/01,15:16:05,27.33
2017/12/01,15:16:06,27.33
2017/12/01,15:16:07,27.33
2017/12/01,15:16:08,27.33
2017/12/01,15:16:09,27.33
2017/12/01,15:16:10,27.33
2017/12/01,15:16:11,27.33
2017/12/01,15:16:12,27.33
2017/12/01,15:16:13,27.33
2017/12/01,15:16:14,27.33
2017/12/01,15:16:15,27.33
2017/12/01,15:16:16,27.33
2017/12/01,15:16:17,27.33
2017/12/01,15:16:18,27.33
2017/12/01,15:16:19,27.33
2017/12/01,15:16:20,27.33
2017/12/01,15:16:21,27.33
2017/12/01,15:16:22,27.33
2017/12/01,15:16:23,27.33
2017/12/01,15:16:24,27.33
2017/12/01,15:16:25,27.33
2017/12/01,15:16:26,27.67
2017/12/01,15:16:27,27.33
2017/12/01,15:16:28,27.67
2017/12/01,15:16:29,27.67
2017/12/01,15:16:30,27.67
2017/12/01,15:16:31,27.67
2017/12/01,15:16:32,27.33
2017/12/01,15:16:33,27.67
2017/12/01,15:16:34,27.67
2017/12/01,15:16:35,27.67
2017/12/01,15:16:36,27.67
2017/12/01,15:16:37,27.67
2017/12/01,15:16:38,27.67
2017/12/01,15:16:39,27.67
2017/12/01,15:16:40,27.67
2017/12/01,15:16:41,27.67
2017/12/01,15:16:42,27.67
2017/12/01,15:16:43,27.67
2017/12/01,15:16:44,27.67
2017/12/01,15:16:45,27.67
2017/12/01,15:16:46,27.67
2017/12/01,15:16:47,27.67
2017/12/01,15:16:48,27.33
2017/12/01,15:16:49,27.67
2017/12/01,15:16:50,27.67
2017/12/01,15:16:51,27.67
2017/12/01,15:16:52,27.67
2017/12/01,15:16:53,27.67
2017/12/01,15:16:54,27.33
2017/12/01,15:16:55,27.67
2017/12/01,15:16:56,27.67
2017/12/01,15:16:57,27.33
2017/12/01,15:16:58,27.67
2017/12/01,15:16:59,27.33
2017/12/01,15:17:00,27.33
2017/12/01,15:17:01,27.33
2017/12/01,15:17:02,27.33
2017/12/01,15:17:03,27.33
2017/12/01,15:17:04,27.33
2017/12/01,15:17:05,27.33
2017/12/01,15:17:06,27.33
2017/12/01,15:17:07,27.33
2017/12/01,15:17:08,27.33
2017/12/01,15:17:09,27.33
2017/12/01,15:17:10,27.00
2017/12/01,15:17:11,27.00
2017/12/01,15:17:12,27.00
2017/12/01,15:17:13,27.00
2017/12/01,15:17:14,27.00
2017/12/01,15:17:15,27.00
2017/12/01,15:17:16,27.00
2017/12/01,15:17:17,27.33
2017/12/01,15:17:18,27.33
2017/12/01,15:17:19,27.33
2017/12/01,15:17:20,27.00
2017/12/01,15:17:21,27.33
2017/12/01,15:17:22,27.33
2017/12/01,15:17:23,27.33
2017/12/01,15:17:24,27.33
2017/12/01,15:17:25,27.33
2017/12/01,15:17:26,27.33
2017/12/01,15:17:27,27.33
2017/12/01,15:17:28,27.33
2017/12/01,15:17:29,27.33
2017/12/01,15:17:30,27.67
2017/12/01,15:17:31,27.67
2017/12/01,15:17:32,27.67
2017/12/01,15:17:33,27.67
2017/12/01,15:17:34,27.67
2017/12/01,15:17:35,27.67
2017/12/01,15:17:36,28.00
2017/12/01,15:17:37,28.00
2017/12/01,15:17:38,28.00
2017/12/01,15:17:39,28.00
2017/12/01,15:17:40,28.00
2017/12/01,15:17:41,28.00
2017/12/01,15:17:42,28.00
2017/12/01,15:17:43,28.34
2017/12/01,15:17:44,28.00
2017/12/01,15:17:45,28.34
2017/12/01,15:17:46,28.34
2017/12/01,15:17:47,28.34
2017/12/01,15:17:48,28.34
2017/12/01,15:17:49,28.34
2017/12/01,15:17:50,28.34
2017/12/01,15:17:51,28.34
2017/12/01,15:17:52,28.34
2017/12/01,15:17:53,28.34
2017/12/01,15:17:54,28.34
2017/12/01,15:17:55,28.34
2017/12/01,15:17:56,28.34
2017/12/01,15:17:57,28.34
2017/12/01,15:17:58,28.34
2017/12/01,15:17:59,28.34
2017/12/01,15:18:00,28.67
2017/12/01,15:18:01,28.34
2017/12/01,15:18:02,28.34
2017/12/01,15:18:03,28.67
2017/12/01,15:18:04,28.34
2017/12/01,15:18:05,28.67
2017/12/01,15:18:06,28.67
2017/12/01,15:18:07,28.67
2017/12/01,15:18:08,28.67
2017/12/01,15:18:09,28.67
2017/12/01,15:18:10,28.67
2017/12/01,15:18:11,28.67
