"Date","Time, GMT-05:00","K-Type, °C"
2017/12/01,14:07:37,28.34
2017/12/01,14:07:38,28.34
2017/12/01,14:07:39,28.34
2017/12/01,14:07:40,28.34
2017/12/01,14:07:41,28.34
2017/12/01,14:07:42,28.00
2017/12/01,14:07:43,28.00
2017/12/01,14:07:44,28.00
2017/12/01,14:07:45,28.00
2017/12/01,14:07:46,28.00
2017/12/01,14:07:47,28.00
2017/12/01,14:07:48,28.00
2017/12/01,14:07:49,28.34
2017/12/01,14:07:50,28.00
2017/12/01,14:07:51,28.34
2017/12/01,14:07:52,28.34
2017/12/01,14:07:53,28.34
2017/12/01,14:07:54,28.34
2017/12/01,14:07:55,28.34
2017/12/01,14:07:56,28.34
2017/12/01,14:07:57,28.34
2017/12/01,14:07:58,28.34
2017/12/01,14:07:59,28.67
2017/12/01,14:08:00,29.01
2017/12/01,14:08:01,29.34
2017/12/01,14:08:02,29.34
2017/12/01,14:08:03,29.34
2017/12/01,14:08:04,29.67
2017/12/01,14:08:05,29.67
2017/12/01,14:08:06,29.67
2017/12/01,14:08:07,29.67
2017/12/01,14:08:08,29.67
2017/12/01,14:08:09,29.67
2017/12/01,14:08:10,30.01
2017/12/01,14:08:11,30.01
2017/12/01,14:08:12,30.01
2017/12/01,14:08:13,30.01
2017/12/01,14:08:14,30.01
2017/12/01,14:08:15,30.01
2017/12/01,14:08:16,30.01
2017/12/01,14:08:17,30.01
2017/12/01,14:08:18,30.01
2017/12/01,14:08:19,30.01
2017/12/01,14:08:20,30.01
2017/12/01,14:08:21,30.34
2017/12/01,14:08:22,30.34
2017/12/01,14:08:23,30.01
2017/12/01,14:08:24,29.67
2017/12/01,14:08:25,29.67
2017/12/01,14:08:26,29.67
2017/12/01,14:08:27,29.67
2017/12/01,14:08:28,29.67
2017/12/01,14:08:29,29.67
2017/12/01,14:08:30,29.67
2017/12/01,14:08:31,29.67
2017/12/01,14:08:32,29.67
2017/12/01,14:08:33,29.67
2017/12/01,14:08:34,29.67
2017/12/01,14:08:35,29.67
2017/12/01,14:08:36,29.67
2017/12/01,14:08:37,30.01
2017/12/01,14:08:38,29.67
2017/12/01,14:08:39,29.67
2017/12/01,14:08:40,29.67
2017/12/01,14:08:41,30.01
2017/12/01,14:08:42,29.67
2017/12/01,14:08:43,29.67
2017/12/01,14:08:44,29.67
2017/12/01,14:08:45,29.67
2017/12/01,14:08:46,29.67
2017/12/01,14:08:47,29.67
2017/12/01,14:08:48,29.67
2017/12/01,14:08:49,29.67
2017/12/01,14:08:50,29.67
2017/12/01,14:08:51,30.01
2017/12/01,14:08:52,30.01
2017/12/01,14:08:53,30.01
2017/12/01,14:08:54,30.01
2017/12/01,14:08:55,30.01
2017/12/01,14:08:56,30.34
2017/12/01,14:08:57,30.01
2017/12/01,14:08:58,30.01
2017/12/01,14:08:59,30.34
2017/12/01,14:09:00,30.34
2017/12/01,14:09:01,30.01
2017/12/01,14:09:02,30.01
2017/12/01,14:09:03,30.01
2017/12/01,14:09:04,30.01
2017/12/01,14:09:05,29.67
2017/12/01,14:09:06,29.67
2017/12/01,14:09:07,29.67
2017/12/01,14:09:08,29.67
2017/12/01,14:09:09,29.67
2017/12/01,14:09:10,30.01
2017/12/01,14:09:11,30.01
2017/12/01,14:09:12,30.01
2017/12/01,14:09:13,30.01
2017/12/01,14:09:14,30.01
2017/12/01,14:09:15,29.67
2017/12/01,14:09:16,29.67
2017/12/01,14:09:17,29.34
2017/12/01,14:09:18,29.67
2017/12/01,14:09:19,29.34
2017/12/01,14:09:20,29.34
2017/12/01,14:09:21,29.34
2017/12/01,14:09:22,29.34
2017/12/01,14:09:23,29.34
2017/12/01,14:09:24,29.01
2017/12/01,14:09:25,29.01
2017/12/01,14:09:26,29.01
2017/12/01,14:09:27,29.01
2017/12/01,14:09:28,29.01
2017/12/01,14:09:29,29.01
2017/12/01,14:09:30,29.01
2017/12/01,14:09:31,29.01
2017/12/01,14:09:32,28.67
2017/12/01,14:09:33,28.34
2017/12/01,14:09:34,28.34
2017/12/01,14:09:35,28.00
2017/12/01,14:09:36,28.00
2017/12/01,14:09:37,28.00
2017/12/01,14:09:38,27.67
2017/12/01,14:09:39,27.67
2017/12/01,14:09:40,27.67
2017/12/01,14:09:41,27.67
2017/12/01,14:09:42,27.67
2017/12/01,14:09:43,27.67
2017/12/01,14:09:44,27.67
2017/12/01,14:09:45,27.67
2017/12/01,14:09:46,27.67
2017/12/01,14:09:47,27.67
2017/12/01,14:09:48,27.33
2017/12/01,14:09:49,27.33
2017/12/01,14:09:50,27.33
2017/12/01,14:09:51,27.33
2017/12/01,14:09:52,27.33
2017/12/01,14:09:53,27.00
2017/12/01,14:09:54,27.00
2017/12/01,14:09:55,27.00
2017/12/01,14:09:56,27.00
2017/12/01,14:09:57,27.00
2017/12/01,14:09:58,27.00
2017/12/01,14:09:59,27.00
2017/12/01,14:10:00,27.00
2017/12/01,14:10:01,27.00
2017/12/01,14:10:02,27.00
2017/12/01,14:10:03,27.00
2017/12/01,14:10:04,27.00
2017/12/01,14:10:05,27.00
2017/12/01,14:10:06,27.00
2017/12/01,14:10:07,27.00
2017/12/01,14:10:08,27.00
2017/12/01,14:10:09,27.00
2017/12/01,14:10:10,27.00
2017/12/01,14:10:11,27.00
2017/12/01,14:10:12,27.00
2017/12/01,14:10:13,27.00
2017/12/01,14:10:14,27.33
2017/12/01,14:10:15,27.33
2017/12/01,14:10:16,27.33
2017/12/01,14:10:17,27.33
2017/12/01,14:10:18,27.33
2017/12/01,14:10:19,27.33
2017/12/01,14:10:20,27.67
2017/12/01,14:10:21,27.33
2017/12/01,14:10:22,27.33
2017/12/01,14:10:23,27.33
2017/12/01,14:10:24,27.33
