"installation","plot_id","imcy_inv","visit_date","last_fire_year"
"blanding","c1","uninvaded",2017-06-07,2015
"blanding","g1","uninvaded",2017-06-15,2011
"blanding","d1","uninvaded",2017-06-20,2014
"blanding","a1","uninvaded",2017-06-09,2017
"blanding","b1","uninvaded",2017-06-08,2016
"eglin","b1","uninvaded",2017-08-19,2016
"eglin","p1","uninvaded",2017-08-19,2010
"eglin","d1","uninvaded",2017-08-17,2014
"eglin","h1","uninvaded",2017-08-16,2008
"tyndall","b2","uninvaded",2017-07-20,2017
"tyndall","b1","invaded",2017-07-20,2017
"tyndall","d1","uninvaded",2017-07-20,2014
"tyndall","h1","uninvaded",2017-07-20,2011
"avonpark","a1","invaded",2017-06-27,2017
"avonpark","c1","invaded",2017-06-28,2015
"avonpark","b1","invaded",2017-06-29,2016
"avonpark","d1","uninvaded",2017-06-30,2014
"blanding","f1","uninvaded",2017-06-22,2007
"blanding","e1","uninvaded",2017-06-14,2013
"blanding","h1","uninvaded",2017-06-16,2009
"shelby","f1","invaded",2017-09-21,2012
"shelby","b1","invaded",2017-09-22,2010
"shelby","d1","invaded",2017-09-23,2014
"shelby","b2","uninvaded",2017-09-24,2016
"shelby","b3","invaded",2017-09-24,2016
"shelby","g1","uninvaded",2017-09-25,2011
"moody","b1","uninvaded",2017-08-29,2016
"moody","a1","uninvaded",2017-08-30,2017
"moody","k1","uninvaded",2017-08-30,2006
"blanding","k1","uninvaded",2018-05-22,2015
"blanding","m1","uninvaded",2018-05-15,2007
"blanding","n1","uninvaded",2018-05-24,2013
"blanding","theater_cogon","invaded",2018-05-16,NA
"blanding","h1","uninvaded",2018-05-17,2018
"blanding","g1","uninvaded",2018-05-18,2018
"blanding","c1","uninvaded",2018-05-16,2017
"blanding","i1","uninvaded",2018-05-25,2014
"blanding","j1","uninvaded",2018-05-25,2016
"avonpark","i1","uninvaded",2018-06-01,2012
"avonpark","g1","uninvaded",2018-05-31,2013
"avonpark","h1","uninvaded",2018-06-01,2017
"avonpark","f1","uninvaded",2018-05-31,2018
"avonpark","c2","uninvaded",2018-05-31,2015
"avonpark","a1","invaded",2018-05-30,2017
"avonpark","a2","uninvaded",2018-05-30,2017
"avonpark","c1","invaded",2018-05-31,2015
"avonpark","e1","uninvaded",2018-05-29,2017
"avonpark","e2","invaded",2018-05-29,2017
"eglin","a1","uninvaded",2018-06-11,2017
"eglin","b2","uninvaded",2018-06-15,2016
"eglin","c1","uninvaded",2018-06-13,2015
"eglin","e1","uninvaded",2018-06-12,2018
"eglin","f1","uninvaded",2018-06-15,2011
"eglin","g1","uninvaded",2018-06-11,2011
"eglin","i1","uninvaded",2018-06-12,2009
"eglin","j1","uninvaded",2018-06-13,2007
"tyndall","d2","uninvaded",2018-06-25,2014
"tyndall","b4","uninvaded",2018-06-27,2017
"tyndall","b1","invaded",2018-06-25,2017
"tyndall","b2","uninvaded",2018-06-25,2017
"tyndall","c1","uninvaded",2018-06-26,2016
"tyndall","c2","uninvaded",2018-06-26,2016
"tyndall","b3","uninvaded",2018-06-27,2017
"jackson","d1","uninvaded",2018-07-09,2010
"jackson","c1","uninvaded",2018-07-09,2017
"jackson","g1","uninvaded",2018-07-10,2014
"jackson","f1","uninvaded",2018-07-10,2016
"jackson","e1","uninvaded",2018-07-10,2007
"jackson","i1","uninvaded",2018-07-11,2017
"jackson","j1","uninvaded",2018-07-11,2015
"jackson","a1","uninvaded",2018-07-09,2010
"jackson","b1","uninvaded",2018-07-09,2015
"jackson","h1","uninvaded",2018-07-12,2009
"jackson","m1","uninvaded",2018-07-13,2018
"jackson","k1","uninvaded",2018-07-11,2018
"jackson","l1","uninvaded",2018-07-13,2009
