id	veg_id	cover	date
flame1	wiregrass	35	20170425
flame1	pigr	5	20170425
flame1	saw palmetto	2	20170425
flame2	wiregrass	20	20170425
flame2	dead flower forb	10	20170425
flame2	pigr	2	20170425
flame3	wiregrass	40	20170425
flame3	pigr	1	20170425
flame4	wiregrass	20	20170425
flame4	limi	20	20170425
flame4	pigr	3	20170425
flame5	wiregrass	50	20170425
flame5	pigr	15	20170425
flame6	wiregrass	35	20170427
flame6	ersp	2	20170427
flame7	wiregrass	5	20170427
flame7	pigr	5	20170427
flame8	wiregrass	30	20170427
flame8	smilax	1	20170427
flame8	pigr	1	20170427
