LocationID,Tag,Invaded,Date,JulianDay,nymphs_alive,nymphs_dead,nymph_survival,adult_F_alive,adult_F_dead,adult_F_survival,adult_M_alive,adult_M_dead,adult_M_survival,avg_cc,visit_number,NOTES
C-1,3161,Yes,20180621,172,10,0,1,5,0,1,5,0,1,48.88,1,
C-2,3147,Yes,20180621,172,10,0,1,5,0,1,5,0,1,51.48,1,
C-3,3144,Yes,20180621,172,9,0,1,5,0,1,5,0,1,48.62,1,
C-4,3156,Yes,20180621,172,10,0,1,5,0,1,5,0,1,49.14,1,
C-5,3154,Yes,20180621,172,10,0,1,5,0,1,5,0,1,50.18,1,
C-6,3143,Yes,20180621,172,10,0,1,5,0,1,5,0,1,48.36,1,
C-7,3146,Yes,20180621,172,10,0,1,5,0,1,5,0,1,42.38,1,
C-8,3151,Yes,20180621,172,10,0,1,5,0,1,5,0,1,56.16,1,changed nymps alive from 9 to 10 based on future data checks
C-9,3153,Yes,20180621,172,10,0,1,5,0,1,5,0,1,58.24,1,
C-10,3145,Yes,20180621,172,10,0,1,5,0,1,5,0,1,44.72,1,
C-11,3152,Yes,20180621,172,10,0,1,5,0,1,5,0,1,36.92,1,
C-12,3148,Yes,20180621,172,10,0,1,5,0,1,5,0,1,44.2,1,
N-1,3165,No,20180621,172,10,0,1,5,0,1,5,0,1,50.44,1,
N-2,3159,No,20180621,172,10,0,1,5,0,1,5,0,1,52.52,1,
N-3,3166,No,20180621,172,10,0,1,5,0,1,5,0,1,55.64,1,
N-4,3149,No,20180621,172,10,0,1,5,0,1,5,0,1,45.5,1,
N-5,3162,No,20180621,172,10,0,1,6,0,1,4,0,1,50.96,1,"changed adult F alive to 6, adult M alive to 4 based on 10/25 visit"
N-6,3155,No,20180621,172,10,0,1,5,0,1,5,0,1,51.22,1,
N-7,3157,No,20180621,172,10,0,1,5,0,1,5,0,1,51.22,1,
N-8,3160,No,20180621,172,10,0,1,5,0,1,5,0,1,48.62,1,
N-9,3163,No,20180621,172,10,0,1,5,0,1,5,0,1,44.98,1,
N-10,3164,No,20180621,172,13,0,1,5,0,1,5,0,1,43.42,1,
N-11,3150,No,20180621,172,10,0,1,5,0,1,5,0,1,39.78,1,
N-12,3158,No,20180621,172,10,0,1,5,0,1,5,0,1,33.8,1,
C-1,3161,Yes,20180702,183,10,0,1,5,0,1,5,0,1,48.88,2,
C-2,3147,Yes,20180702,183,10,0,1,5,0,1,5,0,1,51.48,2,
C-3,3144,Yes,20180702,183,5,0,1,5,0,1,5,0,1,48.62,2,5 nymphs missing
C-4,3156,Yes,20180702,183,10,0,1,5,0,1,5,0,1,49.14,2,
C-5,3154,Yes,20180702,183,9,1,0.9,5,0,1,5,0,1,50.18,2,changed nyphs alive from 8 to 9 for 7/6 timepoint
C-6,3143,Yes,20180702,183,8,2,0.8,5,0,1,4,1,0.8,48.36,2,
C-7,3146,Yes,20180702,183,8,2,0.8,5,0,1,5,0,1,42.38,2,
C-8,3151,Yes,20180702,183,10,0,1,5,0,1,5,0,1,56.16,2,
C-9,3153,Yes,20180702,183,10,0,1,5,0,1,5,0,1,58.24,2,
C-10,3145,Yes,20180702,183,10,0,1,5,0,1,5,0,1,44.72,2,
C-11,3152,Yes,20180702,183,10,0,1,5,0,1,5,0,1,36.92,2,
C-12,3148,Yes,20180702,183,10,0,1,5,0,1,5,0,1,44.2,2,
N-1,3165,No,20180702,183,4,6,0.4,4,1,0.8,5,0,1,50.44,2,
N-2,3159,No,20180702,183,10,0,1,5,0,1,5,0,1,52.52,2,
N-3,3166,No,20180702,183,5,5,0.5,5,0,1,5,0,1,55.64,2,
N-4,3149,No,20180702,183,9,1,0.9,4,0,1,5,0,1,45.5,2,
N-5,3162,No,20180702,183,2,8,0.2,1,5,0.166666667,2,2,0.5,50.96,2,"changed Adult F dead to 5 and Adult M dead to 2 based on different numbers of ticks in bag (6F, 4M)"
N-6,3155,No,20180702,183,6,4,0.6,1,4,0.2,1,4,0.2,51.22,2,
N-7,3157,No,20180702,183,10,0,1,5,0,1,5,0,1,51.22,2,
N-8,3160,No,20180702,183,6,4,0.6,5,0,1,5,0,1,48.62,2,
N-9,3163,No,20180702,183,6,4,0.6,5,0,1,5,0,1,44.98,2,
N-10,3164,No,20180702,183,8,4,0.666666667,5,0,1,5,0,1,43.42,2,changed nymphs alive from 7 to 8 and nymphs dead from 6 to 4 based on 7/30 and 7/23 timepoints
N-11,3150,No,20180702,183,9,1,0.9,5,0,1,5,0,1,39.78,2,
N-12,3158,No,20180702,183,10,0,1,5,0,1,5,0,1,33.8,2,
C-1,3161,Yes,20180706,187,10,0,1,5,0,1,5,0,1,48.88,3,
C-2,3147,Yes,20180706,187,10,0,1,5,0,1,5,0,1,51.48,3,
C-3,3144,Yes,20180706,187,4,0,1,5,0,1,5,0,1,48.62,3,
C-4,3156,Yes,20180706,187,10,0,1,5,0,1,5,0,1,49.14,3,
C-5,3154,Yes,20180706,187,9,1,0.9,5,0,1,5,0,1,50.18,3,
C-6,3143,Yes,20180706,187,8,2,0.8,5,0,1,4,1,0.8,48.36,3,
C-7,3146,Yes,20180706,187,8,2,0.8,5,0,1,5,0,1,42.38,3,
C-8,3151,Yes,20180706,187,10,0,1,5,0,1,5,0,1,56.16,3,changed nymphs alive from 8 to 10 based on past and future datacheckls
C-9,3153,Yes,20180706,187,10,0,1,5,0,1,5,0,1,58.24,3,
C-10,3145,Yes,20180706,187,10,0,1,5,0,1,5,0,1,44.72,3,
C-11,3152,Yes,20180706,187,10,0,1,5,0,1,5,0,1,36.92,3,
