LocationID,Tag,logger_id,Invaded,Date,JulianDay,nymphs_alive,nymphs_dead,nymph_survival,adult_F_alive,adult_F_dead,adult_F_survival,adult_M_alive,adult_M_dead,adult_M_survival,visit_number
C-1,3161,1,Yes,20180621,172,10,0,1,5,0,1,5,0,1,1
C-2,3147,2,Yes,20180621,172,10,0,1,5,0,1,5,0,1,1
C-3,3144,3,Yes,20180621,172,9,0,1,5,0,1,5,0,1,1
C-4,3156,4,Yes,20180621,172,10,0,1,5,0,1,5,0,1,1
C-5,3154,5,Yes,20180621,172,10,0,1,5,0,1,5,0,1,1
C-6,3143,6,Yes,20180621,172,10,0,1,5,0,1,5,0,1,1
C-7,3146,7,Yes,20180621,172,10,0,1,5,0,1,5,0,1,1
C-8,3151,8,Yes,20180621,172,10,0,1,5,0,1,5,0,1,1
C-9,3153,9,Yes,20180621,172,10,0,1,5,0,1,5,0,1,1
C-10,3145,10,Yes,20180621,172,10,0,1,5,0,1,5,0,1,1
C-11,3152,11,Yes,20180621,172,10,0,1,5,0,1,5,0,1,1
C-12,3148,12,Yes,20180621,172,10,0,1,5,0,1,5,0,1,1
N-1,3165,13,No,20180621,172,10,0,1,5,0,1,5,0,1,1
N-2,3159,14,No,20180621,172,10,0,1,5,0,1,5,0,1,1
N-3,3166,15,No,20180621,172,10,0,1,5,0,1,5,0,1,1
N-4,3149,16,No,20180621,172,10,0,1,5,0,1,5,0,1,1
N-5,3162,17,No,20180621,172,10,0,1,6,0,1,4,0,1,1
N-6,3155,18,No,20180621,172,10,0,1,5,0,1,5,0,1,1
N-7,3157,19,No,20180621,172,10,0,1,5,0,1,5,0,1,1
N-8,3160,20,No,20180621,172,10,0,1,5,0,1,5,0,1,1
N-9,3163,21,No,20180621,172,10,0,1,5,0,1,5,0,1,1
N-10,3164,22,No,20180621,172,13,0,1,5,0,1,5,0,1,1
N-11,3150,23,No,20180621,172,10,0,1,5,0,1,5,0,1,1
N-12,3158,24,No,20180621,172,10,0,1,5,0,1,5,0,1,1
C-1,3161,1,Yes,20180702,183,10,0,1,5,0,1,5,0,1,2
C-2,3147,2,Yes,20180702,183,10,0,1,5,0,1,5,0,1,2
C-3,3144,3,Yes,20180702,183,5,0,1,5,0,1,5,0,1,2
C-4,3156,4,Yes,20180702,183,10,0,1,5,0,1,5,0,1,2
C-5,3154,5,Yes,20180702,183,9,1,0.9,5,0,1,5,0,1,2
C-6,3143,6,Yes,20180702,183,8,2,0.8,5,0,1,4,1,0.8,2
C-7,3146,7,Yes,20180702,183,8,2,0.8,5,0,1,5,0,1,2
C-8,3151,8,Yes,20180702,183,10,0,1,5,0,1,5,0,1,2
C-9,3153,9,Yes,20180702,183,10,0,1,5,0,1,5,0,1,2
C-10,3145,10,Yes,20180702,183,10,0,1,5,0,1,5,0,1,2
C-11,3152,11,Yes,20180702,183,10,0,1,5,0,1,5,0,1,2
C-12,3148,12,Yes,20180702,183,10,0,1,5,0,1,5,0,1,2
N-1,3165,13,No,20180702,183,4,6,0.4,4,1,0.8,5,0,1,2
N-2,3159,14,No,20180702,183,10,0,1,5,0,1,5,0,1,2
N-3,3166,15,No,20180702,183,5,5,0.5,5,0,1,5,0,1,2
N-4,3149,16,No,20180702,183,9,1,0.9,4,0,1,5,0,1,2
N-5,3162,17,No,20180702,183,2,8,0.2,1,5,0.166666667,2,2,0.5,2
N-6,3155,18,No,20180702,183,6,4,0.6,1,4,0.2,1,4,0.2,2
N-7,3157,19,No,20180702,183,10,0,1,5,0,1,5,0,1,2
N-8,3160,20,No,20180702,183,6,4,0.6,5,0,1,5,0,1,2
N-9,3163,21,No,20180702,183,6,4,0.6,5,0,1,5,0,1,2
N-10,3164,22,No,20180702,183,8,4,0.666666667,5,0,1,5,0,1,2
N-11,3150,23,No,20180702,183,9,1,0.9,5,0,1,5,0,1,2
N-12,3158,24,No,20180702,183,10,0,1,5,0,1,5,0,1,2
C-1,3161,1,Yes,20180706,187,10,0,1,5,0,1,5,0,1,3
C-2,3147,2,Yes,20180706,187,10,0,1,5,0,1,5,0,1,3
C-3,3144,3,Yes,20180706,187,4,0,1,5,0,1,5,0,1,3
C-4,3156,4,Yes,20180706,187,10,0,1,5,0,1,5,0,1,3
C-5,3154,5,Yes,20180706,187,9,1,0.9,5,0,1,5,0,1,3
C-6,3143,6,Yes,20180706,187,8,2,0.8,5,0,1,4,1,0.8,3
C-7,3146,7,Yes,20180706,187,8,2,0.8,5,0,1,5,0,1,3
C-8,3151,8,Yes,20180706,187,10,0,1,5,0,1,5,0,1,3
C-9,3153,9,Yes,20180706,187,10,0,1,5,0,1,5,0,1,3
C-10,3145,10,Yes,20180706,187,10,0,1,5,0,1,5,0,1,3
C-11,3152,11,Yes,20180706,187,10,0,1,5,0,1,5,0,1,3
C-12,3148,12,Yes,20180706,187,10,0,1,5,0,1,5,0,1,3
N-1,3165,13,No,20180706,187,4,6,0.4,4,1,0.8,5,0,1,3
N-2,3159,14,No,20180706,187,8,0,1,5,0,1,5,0,1,3
N-3,3166,15,No,20180706,187,5,5,0.5,5,0,1,5,0,1,3
N-4,3149,16,No,20180706,187,9,1,0.9,5,0,1,4,0,1,3
N-5,3162,17,No,20180706,187,2,8,0.2,1,5,0.166666667,2,2,0.5,3
N-6,3155,18,No,20180706,187,5,4,0.555555556,1,4,0.2,0,5,0,3
N-7,3157,19,No,20180706,187,9,0,1,5,0,1,5,0,1,3
N-8,3160,20,No,20180706,187,6,4,0.6,5,0,1,5,0,1,3
N-9,3163,21,No,20180706,187,6,4,0.6,5,0,1,5,0,1,3
N-10,3164,22,No,20180706,187,8,4,0.666666667,5,0,1,5,0,1,3
N-11,3150,23,No,20180706,187,9,1,0.9,5,0,1,5,0,1,3
N-12,3158,24,No,20180706,187,10,0,1,5,0,1,5,0,1,3
N-1,3165,13,No,20180716,197,4,6,0.4,4,1,0.8,5,0,1,4
N-2,3159,14,No,20180716,197,10,0,1,4,1,0.8,5,0,1,4
N-3,3166,15,No,20180716,197,5,5,0.5,5,0,1,5,0,1,4
N-4,3149,16,No,20180716,197,9,1,0.9,5,0,1,4,0,1,4
N-5,3162,17,No,20180716,197,2,8,0.2,1,5,0.166666667,2,2,0.5,4
N-6,3155,18,No,20180716,197,5,5,0.5,0,5,0,0,4,0,4
N-7,3157,19,No,20180716,197,9,0,1,5,0,1,5,0,1,4
N-8,3160,20,No,20180716,197,6,4,0.6,5,0,1,5,0,1,4
N-9,3163,21,No,20180716,197,6,4,0.6,5,0,1,4,1,0.8,4
N-10,3164,22,No,20180716,197,8,4,0.666666667,5,0,1,5,0,1,4
N-11,3150,23,No,20180716,197,9,1,0.9,4,1,0.8,5,0,1,4
