"Date","Time, GMT-04:00","Temp, °C","RH, %","DewPt, °C","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
2018-08-27,13:00:00,33.157,81.620,29.623,Logged,,,,
2018-08-27,13:05:00,33.417,82.350,30.021,,,,,
2018-08-27,13:10:00,34.255,79.872,30.346,,,,,
2018-08-27,13:15:00,35.235,79.179,31.160,,,,,
2018-08-27,13:20:00,35.689,77.293,31.206,,,,,
2018-08-27,13:25:00,35.155,78.506,30.942,,,,,
2018-08-27,13:30:00,35.475,75.834,30.685,,,,,
2018-08-27,13:35:00,36.012,73.264,30.634,,,,,
2018-08-27,13:40:00,36.579,70.820,30.618,,,,,
2018-08-27,13:45:00,37.042,70.811,31.060,,,,,
2018-08-27,13:50:00,37.480,67.812,30.756,,,,,
2018-08-27,13:55:00,37.976,64.342,30.346,,,,,
2018-08-27,14:00:00,38.282,61.912,29.986,,,,,
2018-08-27,14:05:00,38.337,63.227,30.393,,,,,
2018-08-27,14:10:00,38.365,63.962,30.614,,,,,
2018-08-27,14:15:00,38.421,63.399,30.518,,,,,
2018-08-27,14:20:00,38.365,60.966,29.805,,,,,
2018-08-27,14:25:00,38.254,60.019,29.437,,,,,
2018-08-27,14:30:00,37.233,62.828,29.243,,,,,
2018-08-27,14:35:00,36.552,64.299,28.985,,,,,
2018-08-27,14:40:00,37.096,60.834,28.575,,,,,
2018-08-27,14:45:00,37.838,60.309,29.127,,,,,
2018-08-27,14:50:00,37.949,59.459,28.993,,,,,
2018-08-27,14:55:00,38.004,59.146,28.956,,,,,
2018-08-27,15:00:00,37.976,63.296,30.070,,,,,
2018-08-27,15:05:00,38.254,58.733,29.072,,,,,
2018-08-27,15:10:00,38.644,56.784,28.867,,,,,
2018-08-27,15:15:00,39.121,56.104,29.108,,,,,
2018-08-27,15:20:00,39.318,52.858,28.281,,,,,
2018-08-27,15:25:00,39.205,52.547,28.077,,,,,
2018-08-27,15:30:00,39.093,56.393,29.168,,,,,
2018-08-27,15:35:00,39.290,54.299,28.710,,,,,
2018-08-27,15:40:00,38.532,55.533,28.387,,,,,
2018-08-27,15:45:00,36.878,63.627,29.119,,,,,
2018-08-27,15:50:00,35.368,65.360,28.133,,,,,
2018-08-27,15:55:00,34.124,70.470,28.179,,,,,
2018-08-27,16:00:00,33.652,71.729,28.014,,,,,
2018-08-27,16:05:00,33.992,68.788,27.659,,,,,
2018-08-27,16:10:00,34.255,68.557,27.856,,,,,
2018-08-27,16:15:00,34.071,68.863,27.752,,,,,
2018-08-27,16:20:00,33.365,73.224,28.073,,,,,
2018-08-27,16:25:00,32.665,75.590,27.909,,,,,
2018-08-27,16:30:00,32.433,72.837,27.088,,,,,
2018-08-27,16:35:00,32.536,74.364,27.521,,,,,
2018-08-27,16:40:00,32.407,74.790,27.488,,,,,
2018-08-27,16:45:00,32.175,74.446,27.190,,,,,
2018-08-27,16:50:00,32.253,72.380,26.813,,,,,
2018-08-27,16:55:00,32.278,74.345,27.268,,,,,
2018-08-27,17:00:00,32.150,75.250,27.338,,,,,
2018-08-27,17:05:00,32.124,74.736,27.203,,,,,
2018-08-27,17:10:00,32.227,73.884,27.118,,,,,
2018-08-27,17:15:00,32.355,74.029,27.274,,,,,
2018-08-27,17:20:00,32.407,73.557,27.221,,,,,
2018-08-27,17:25:00,32.458,71.873,26.898,,,,,
2018-08-27,17:30:00,32.536,73.008,27.225,,,,,
2018-08-27,17:35:00,32.510,71.215,26.800,,,,,
2018-08-27,17:40:00,32.510,70.758,26.696,,,,,
2018-08-27,17:45:00,32.639,70.111,26.672,,,,,
2018-08-27,17:50:00,32.794,69.986,26.792,,,,,
2018-08-27,17:55:00,32.639,70.508,26.763,,,,,
2018-08-27,18:00:00,32.536,71.554,26.901,,,,,
2018-08-27,18:05:00,32.484,70.967,26.719,,,,,
2018-08-27,18:10:00,32.407,70.618,26.565,,,,,
2018-08-27,18:15:00,32.175,72.306,26.722,,,,,
2018-08-27,18:20:00,31.765,74.067,26.712,,,,,
2018-08-27,18:25:00,31.331,75.480,26.594,,,,,
2018-08-27,18:30:00,30.925,75.251,26.152,,,,,
2018-08-27,18:35:00,30.596,77.767,26.353,,,,,
2018-08-27,18:40:00,30.343,79.011,26.358,,,,,
2018-08-27,18:45:00,30.117,79.462,26.226,,,,,
2018-08-27,18:50:00,29.916,80.181,26.171,,,,,
2018-08-27,18:55:00,29.715,80.896,26.114,,,,,
2018-08-27,19:00:00,29.540,81.556,26.070,,,,,
2018-08-27,19:05:00,29.365,82.300,26.040,,,,,
2018-08-27,19:10:00,29.215,82.470,25.925,,,,,
2018-08-27,19:15:00,29.040,83.210,25.893,,,,,
2018-08-27,19:20:00,28.891,83.148,25.735,,,,,
2018-08-27,19:25:00,28.692,83.823,25.665,,,,,
2018-08-27,19:30:00,28.518,84.614,25.639,,,,,
2018-08-27,19:35:00,28.345,85.316,25.596,,,,,
2018-08-27,19:40:00,28.171,85.533,25.464,,,,,
2018-08-27,19:45:00,27.998,85.749,25.332,,,,,
2018-08-27,19:50:00,27.850,85.773,25.190,,,,,
2018-08-27,19:55:00,27.702,86.390,25.154,,,,,
2018-08-27,20:00:00,27.530,87.000,25.092,,,,,
2018-08-27,20:05:00,27.333,87.517,24.988,,,,,
2018-08-27,20:10:00,27.161,88.459,24.980,,,,,
2018-08-27,20:15:00,26.965,88.860,24.855,,,,,
2018-08-27,20:20:00,26.793,89.376,24.772,,,,,
2018-08-27,20:25:00,26.646,90.175,24.761,,,,,
2018-08-27,20:30:00,26.475,90.743,24.686,,,,,
2018-08-27,20:35:00,26.329,91.149,24.607,,,,,
2018-08-27,20:40:00,26.158,91.658,24.521,,,,,
2018-08-27,20:45:00,25.987,92.165,24.434,,,,,
2018-08-27,20:50:00,25.841,92.513,24.345,,,,,
2018-08-27,20:55:00,25.695,93.132,24.299,,,,,
2018-08-27,21:00:00,25.574,93.756,24.277,,,,,
2018-08-27,21:05:00,25.453,94.078,24.206,,,,,
2018-08-27,21:10:00,25.331,94.454,24.144,,,,,
2018-08-27,21:15:00,25.210,94.532,24.035,,,,,
2018-08-27,21:20:00,25.065,94.874,23.943,,,,,
2018-08-27,21:25:00,24.944,95.247,23.880,,,,,
2018-08-27,21:30:00,24.823,95.647,23.821,,,,,
2018-08-27,21:35:00,24.726,96.079,23.790,,,,,
2018-08-27,21:40:00,24.653,96.194,23.735,,,,,
2018-08-27,21:45:00,24.557,96.410,23.671,,,,,
2018-08-27,21:50:00,24.460,96.626,23.607,,,,,
2018-08-27,21:55:00,24.388,97.034,23.596,,,,,
2018-08-27,22:00:00,24.315,97.148,23.541,,,,,
2018-08-27,22:05:00,24.267,97.375,23.527,,,,,
2018-08-27,22:10:00,24.195,97.516,23.475,,,,,
2018-08-27,22:15:00,24.146,97.769,23.464,,,,,
2018-08-27,22:20:00,24.098,97.836,23.426,,,,,
2018-08-27,22:25:00,24.026,97.923,23.366,,,,,
2018-08-27,22:30:00,23.954,98.063,23.315,,,,,
2018-08-27,22:35:00,23.881,98.256,23.271,,,,,
2018-08-27,22:40:00,23.809,98.316,23.207,,,,,
2018-08-27,22:45:00,23.761,98.462,23.180,,,,,
2018-08-27,22:50:00,23.689,98.627,23.132,,,,,
