"Date","Time, GMT-04:00","Temp, °C","RH, %","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
2019-04-23,14:00:00,37.755,33.722,Logged,,,,
2019-04-23,14:05:00,37.783,34.760,,,,,
2019-04-23,14:10:00,38.032,33.054,,,,,
2019-04-23,14:15:00,38.282,34.288,,,,,
2019-04-23,14:20:00,38.337,35.363,,,,,
2019-04-23,14:25:00,38.449,35.649,,,,,
2019-04-23,14:30:00,38.143,33.029,,,,,
2019-04-23,14:35:00,36.851,33.642,,,,,
2019-04-23,14:40:00,35.529,38.376,,,,,
2019-04-23,14:45:00,34.677,39.846,,,,,
2019-04-23,14:50:00,34.783,39.755,,,,,
2019-04-23,14:55:00,35.529,36.300,,,,,
2019-04-23,15:00:00,36.173,35.300,,,,,
2019-04-23,15:05:00,37.178,35.393,,,,,
2019-04-23,15:10:00,38.282,36.322,,,,,
2019-04-23,15:15:00,38.616,36.147,,,,,
2019-04-23,15:20:00,38.756,36.022,,,,,
2019-04-23,15:25:00,38.952,35.074,,,,,
2019-04-23,15:30:00,39.460,34.220,,,,,
2019-04-23,15:35:00,39.886,34.120,,,,,
2019-04-23,15:40:00,39.346,34.557,,,,,
2019-04-23,15:45:00,37.893,36.285,,,,,
2019-04-23,15:50:00,36.851,37.827,,,,,
2019-04-23,15:55:00,36.362,37.404,,,,,
2019-04-23,16:00:00,36.012,39.307,,,,,
2019-04-23,16:05:00,36.146,39.931,,,,,
2019-04-23,16:10:00,36.417,38.805,,,,,
2019-04-23,16:15:00,36.444,38.740,,,,,
2019-04-23,16:20:00,36.227,39.532,,,,,
2019-04-23,16:25:00,35.555,41.084,,,,,
2019-04-23,16:30:00,34.704,41.866,,,,,
2019-04-23,16:35:00,34.492,43.482,,,,,
2019-04-23,16:40:00,34.624,42.996,,,,,
2019-04-23,16:45:00,34.598,41.251,,,,,
2019-04-23,16:50:00,34.440,41.637,,,,,
2019-04-23,16:55:00,33.548,44.539,,,,,
2019-04-23,17:00:00,32.587,46.902,,,,,
2019-04-23,17:05:00,31.919,48.098,,,,,
2019-04-23,17:10:00,31.331,48.611,,,,,
2019-04-23,17:15:00,30.874,48.716,,,,,
2019-04-23,17:20:00,30.444,50.671,,,,,
2019-04-23,17:25:00,30.066,52.391,,,,,
2019-04-23,17:30:00,29.740,53.147,,,,,
2019-04-23,17:35:00,29.615,53.066,,,,,
2019-04-23,17:40:00,29.590,53.414,,,,,
2019-04-23,17:45:00,29.490,52.440,,,,,
2019-04-23,17:50:00,29.190,55.394,,,,,
2019-04-23,17:55:00,28.866,53.982,,,,,
2019-04-23,18:00:00,28.543,56.313,,,,,
2019-04-23,18:05:00,28.295,56.592,,,,,
2019-04-23,18:10:00,28.072,58.129,,,,,
2019-04-23,18:15:00,27.899,60.038,,,,,
2019-04-23,18:20:00,27.801,59.991,,,,,
2019-04-23,18:25:00,27.702,60.877,,,,,
2019-04-23,18:30:00,27.604,61.140,,,,,
2019-04-23,18:35:00,27.554,61.782,,,,,
2019-04-23,18:40:00,27.505,61.774,,,,,
2019-04-23,18:45:00,27.382,63.325,,,,,
2019-04-23,18:50:00,27.112,64.414,,,,,
2019-04-23,18:55:00,26.720,66.054,,,,,
2019-04-23,19:00:00,26.280,67.341,,,,,
2019-04-23,19:05:00,25.841,68.407,,,,,
2019-04-23,19:10:00,25.428,69.441,,,,,
2019-04-23,19:15:00,24.968,70.163,,,,,
2019-04-23,19:20:00,24.484,70.905,,,,,
2019-04-23,19:25:00,23.978,72.227,,,,,
2019-04-23,19:30:00,23.593,73.825,,,,,
2019-04-23,19:35:00,23.280,74.785,,,,,
2019-04-23,19:40:00,22.992,75.772,,,,,
2019-04-23,19:45:00,22.705,76.812,,,,,
2019-04-23,19:50:00,22.393,77.209,,,,,
2019-04-23,19:55:00,22.082,77.346,,,,,
2019-04-23,20:00:00,21.700,78.354,,,,,
2019-04-23,20:05:00,21.318,79.185,,,,,
2019-04-23,20:10:00,20.936,80.294,,,,,
2019-04-23,20:15:00,20.555,80.579,,,,,
2019-04-23,20:20:00,20.198,81.204,,,,,
2019-04-23,20:25:00,19.841,82.162,,,,,
2019-04-23,20:30:00,19.484,83.057,,,,,
2019-04-23,20:35:00,19.199,84.129,,,,,
2019-04-23,20:40:00,18.937,84.510,,,,,
2019-04-23,20:45:00,18.723,85.341,,,,,
2019-04-23,20:50:00,18.509,86.113,,,,,
2019-04-23,20:55:00,18.319,87.049,,,,,
2019-04-23,21:00:00,18.176,88.451,,,,,
2019-04-23,21:05:00,18.224,89.083,,,,,
2019-04-23,21:10:00,18.509,86.549,,,,,
2019-04-23,21:15:00,19.008,86.010,,,,,
2019-04-23,21:20:00,19.413,84.481,,,,,
2019-04-23,21:25:00,19.746,85.824,,,,,
2019-04-23,21:30:00,19.722,85.296,,,,,
2019-04-23,21:35:00,19.484,85.653,,,,,
2019-04-23,21:40:00,19.222,86.059,,,,,
2019-04-23,21:45:00,18.913,85.878,,,,,
2019-04-23,21:50:00,18.604,87.116,,,,,
2019-04-23,21:55:00,18.366,87.820,,,,,
2019-04-23,22:00:00,18.129,88.062,,,,,
2019-04-23,22:05:00,17.891,88.194,,,,,
2019-04-23,22:10:00,17.653,88.945,,,,,
2019-04-23,22:15:00,17.415,89.103,,,,,
2019-04-23,22:20:00,17.177,88.938,,,,,
2019-04-23,22:25:00,16.939,89.630,,,,,
2019-04-23,22:30:00,16.725,89.925,,,,,
2019-04-23,22:35:00,16.463,90.020,,,,,
2019-04-23,22:40:00,16.225,90.838,,,,,
2019-04-23,22:45:00,16.058,91.405,,,,,
2019-04-23,22:50:00,15.891,91.522,,,,,
2019-04-23,22:55:00,15.700,91.764,,,,,
2019-04-23,23:00:00,15.557,92.254,,,,,
2019-04-23,23:05:00,15.438,92.958,,,,,
2019-04-23,23:10:00,15.342,93.560,,,,,
2019-04-23,23:15:00,15.223,93.425,,,,,
2019-04-23,23:20:00,15.103,93.446,,,,,
2019-04-23,23:25:00,14.960,93.722,,,,,
2019-04-23,23:30:00,14.792,93.731,,,,,
2019-04-23,23:35:00,14.601,93.759,,,,,
2019-04-23,23:40:00,14.457,94.319,,,,,
2019-04-23,23:45:00,14.337,94.804,,,,,
2019-04-23,23:50:00,14.218,95.108,,,,,
2019-04-23,23:55:00,14.098,95.334,,,,,
2019-04-24,00:00:00,14.002,95.514,,,,,
2019-04-24,00:05:00,13.882,95.739,,,,,
2019-04-24,00:10:00,13.786,95.944,,,,,
2019-04-24,00:15:00,13.690,96.021,,,,,
2019-04-24,00:20:00,13.594,96.404,,,,,
2019-04-24,00:25:00,13.546,96.596,,,,,
2019-04-24,00:30:00,13.473,96.882,,,,,
2019-04-24,00:35:00,13.401,97.015,,,,,
2019-04-24,00:40:00,13.329,97.174,,,,,
2019-04-24,00:45:00,13.257,97.281,,,,,
2019-04-24,00:50:00,13.209,97.420,,,,,
2019-04-24,00:55:00,13.161,97.509,,,,,
2019-04-24,01:00:00,13.112,97.546,,,,,
2019-04-24,01:05:00,13.040,97.755,,,,,
2019-04-24,01:10:00,12.968,97.811,,,,,
2019-04-24,01:15:00,12.920,97.949,,,,,
2019-04-24,01:20:00,12.847,97.930,,,,,
2019-04-24,01:25:00,12.799,98.169,,,,,
2019-04-24,01:30:00,12.775,98.464,,,,,
2019-04-24,01:35:00,12.775,98.615,,,,,
2019-04-24,01:40:00,12.751,98.810,,,,,
2019-04-24,01:45:00,12.727,98.854,,,,,
2019-04-24,01:50:00,12.775,99.118,,,,,
2019-04-24,01:55:00,12.823,99.332,,,,,
2019-04-24,02:00:00,12.871,99.496,,,,,
2019-04-24,02:05:00,12.920,99.559,,,,,
2019-04-24,02:10:00,12.920,99.459,,,,,
2019-04-24,02:15:00,12.847,99.213,,,,,
2019-04-24,02:20:00,12.799,99.426,,,,,
2019-04-24,02:25:00,12.871,99.696,,,,,
2019-04-24,02:30:00,12.871,99.696,,,,,
2019-04-24,02:35:00,12.799,99.526,,,,,
2019-04-24,02:40:00,12.703,99.449,,,,,
2019-04-24,02:45:00,12.582,99.315,,,,,
2019-04-24,02:50:00,12.461,99.332,,,,,
2019-04-24,02:55:00,12.364,99.355,,,,,
2019-04-24,03:00:00,12.268,99.478,,,,,
2019-04-24,03:05:00,12.195,99.508,,,,,
2019-04-24,03:10:00,12.098,99.606,,,,,
2019-04-24,03:15:00,12.025,99.710,,,,,
2019-04-24,03:20:00,11.929,99.683,,,,,
2019-04-24,03:25:00,11.807,99.649,,,,,
2019-04-24,03:30:00,11.710,99.772,,,,,
2019-04-24,03:35:00,11.662,99.833,,,,,
2019-04-24,03:40:00,11.637,100.000,,,,,
2019-04-24,03:45:00,11.662,100.000,,,,,
2019-04-24,03:50:00,11.662,100.000,,,,,
2019-04-24,03:55:00,11.662,100.000,,,,,
2019-04-24,04:00:00,11.662,100.000,,,,,
2019-04-24,04:05:00,11.613,100.000,,,,,
2019-04-24,04:10:00,11.613,100.000,,,,,
2019-04-24,04:15:00,11.662,100.000,,,,,
2019-04-24,04:20:00,11.710,100.000,,,,,
2019-04-24,04:25:00,11.734,100.000,,,,,
2019-04-24,04:30:00,11.783,100.000,,,,,
2019-04-24,04:35:00,11.856,100.000,,,,,
2019-04-24,04:40:00,11.953,100.000,,,,,
2019-04-24,04:45:00,12.074,100.000,,,,,
2019-04-24,04:50:00,12.171,100.000,,,,,
2019-04-24,04:55:00,12.243,100.000,,,,,
2019-04-24,05:00:00,12.243,100.000,,,,,
2019-04-24,05:05:00,12.195,100.000,,,,,
2019-04-24,05:10:00,12.122,100.000,,,,,
2019-04-24,05:15:00,12.001,100.000,,,,,
2019-04-24,05:20:00,11.904,100.000,,,,,
2019-04-24,05:25:00,11.807,100.000,,,,,
2019-04-24,05:30:00,11.710,100.000,,,,,
2019-04-24,05:35:00,11.613,100.000,,,,,
2019-04-24,05:40:00,11.516,100.000,,,,,
2019-04-24,05:45:00,11.443,100.000,,,,,
2019-04-24,05:50:00,11.370,100.000,,,,,
2019-04-24,05:55:00,11.321,100.000,,,,,
2019-04-24,06:00:00,11.248,100.000,,,,,
2019-04-24,06:05:00,11.175,100.000,,,,,
2019-04-24,06:10:00,11.102,100.000,,,,,
2019-04-24,06:15:00,11.029,100.000,,,,,
2019-04-24,06:20:00,10.980,100.000,,,,,
2019-04-24,06:25:00,10.883,100.000,,,,,
2019-04-24,06:30:00,10.810,100.000,,,,,
2019-04-24,06:35:00,10.785,100.000,,,,,
2019-04-24,06:40:00,10.761,100.000,,,,,
2019-04-24,06:45:00,10.736,100.000,,,,,
2019-04-24,06:50:00,10.687,100.000,,,,,
2019-04-24,06:55:00,10.590,100.000,,,,,
2019-04-24,07:00:00,10.541,100.000,,,,,
2019-04-24,07:05:00,10.516,100.000,,,,,
2019-04-24,07:10:00,10.541,100.000,,,,,
2019-04-24,07:15:00,10.565,100.000,,,,,
2019-04-24,07:20:00,10.638,100.000,,,,,
2019-04-24,07:25:00,10.761,100.000,,,,,
2019-04-24,07:30:00,10.883,100.000,,,,,
2019-04-24,07:35:00,11.053,100.000,,,,,
2019-04-24,07:40:00,11.248,100.000,,,,,
2019-04-24,07:45:00,11.492,100.000,,,,,
2019-04-24,07:50:00,11.734,100.000,,,,,
2019-04-24,07:55:00,12.074,100.000,,,,,
2019-04-24,08:00:00,12.461,100.000,,,,,
2019-04-24,08:05:00,12.871,100.000,,,,,
2019-04-24,08:10:00,13.329,100.000,,,,,
2019-04-24,08:15:00,13.930,100.000,,,,,
2019-04-24,08:20:00,14.792,100.000,,,,,
2019-04-24,08:25:00,15.509,100.000,,,,,
2019-04-24,08:30:00,16.058,100.000,,,,,
2019-04-24,08:35:00,16.487,100.000,,,,,
2019-04-24,08:40:00,16.820,100.000,,,,,
2019-04-24,08:45:00,17.034,100.000,,,,,
2019-04-24,08:50:00,17.177,100.000,,,,,
