"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20381841, SEN S/N: 20381841, LBL: temp_C)","RH, % (LGR S/N: 20381841, SEN S/N: 20381841, LBL: RH_pct)"
2018-10-25 11:20:00,23.280,100.000
2018-10-25 11:25:00,23.472,100.000
2018-10-25 11:30:00,23.665,100.000
2018-10-25 11:35:00,23.905,100.000
2018-10-25 11:40:00,24.050,100.000
2018-10-25 11:45:00,24.219,100.000
2018-10-25 11:50:00,24.532,100.000
2018-10-25 11:55:00,24.968,100.000
2018-10-25 12:00:00,25.428,100.000
2018-10-25 12:05:00,25.768,100.000
2018-10-25 12:10:00,25.987,99.424
2018-10-25 12:15:00,26.182,98.811
2018-10-25 12:20:00,26.329,98.235
2018-10-25 12:25:00,26.573,98.005
2018-10-25 12:30:00,26.867,97.195
2018-10-25 12:35:00,26.916,96.047
2018-10-25 12:40:00,26.793,95.854
2018-10-25 12:45:00,26.622,96.026
2018-10-25 12:50:00,26.378,95.369
2018-10-25 12:55:00,26.231,95.683
2018-10-25 13:00:00,26.182,96.238
2018-10-25 13:05:00,26.182,95.536
2018-10-25 13:10:00,26.061,95.586
2018-10-25 13:15:00,25.939,95.528
2018-10-25 13:20:00,25.841,95.179
2018-10-25 13:25:00,25.623,95.123
2018-10-25 13:30:00,25.307,95.663
2018-10-25 13:35:00,25.113,96.178
2018-10-25 13:40:00,24.968,96.248
2018-10-25 13:45:00,24.871,96.438
2018-10-25 13:50:00,24.750,96.058
2018-10-25 13:55:00,24.629,96.750
2018-10-25 14:00:00,24.557,96.490
2018-10-25 14:05:00,24.508,96.878
2018-10-25 14:10:00,24.460,97.186
2018-10-25 14:15:00,24.339,96.434
2018-10-25 14:20:00,24.195,96.824
2018-10-25 14:25:00,24.026,97.099
2018-10-25 14:30:00,23.905,97.307
2018-10-25 14:35:00,23.809,97.388
2018-10-25 14:40:00,23.737,97.847
2018-10-25 14:45:00,23.521,98.477
2018-10-25 14:50:00,23.280,98.940
2018-10-25 14:55:00,23.160,99.433
2018-10-25 15:00:00,23.256,99.931
2018-10-25 15:05:00,23.328,99.846
2018-10-25 15:10:00,23.352,99.642
2018-10-25 15:15:00,23.376,99.728
2018-10-25 15:20:00,23.376,99.596
2018-10-25 15:25:00,23.521,99.609
2018-10-25 15:30:00,23.809,99.555
2018-10-25 15:35:00,24.195,99.026
2018-10-25 15:40:00,24.436,98.110
2018-10-25 15:45:00,24.484,97.884
2018-10-25 15:50:00,24.484,97.937
2018-10-25 15:55:00,24.363,97.400
2018-10-25 16:00:00,24.122,97.922
2018-10-25 16:05:00,23.857,98.143
2018-10-25 16:10:00,23.569,98.120
2018-10-25 16:15:00,23.208,98.605
2018-10-25 16:20:00,22.944,98.956
2018-10-25 16:25:00,22.753,99.219
2018-10-25 16:30:00,22.585,99.880
2018-10-25 16:35:00,22.393,100.000
2018-10-25 16:40:00,22.202,100.000
2018-10-25 16:45:00,22.034,100.000
2018-10-25 16:50:00,21.867,100.000
2018-10-25 16:55:00,21.724,100.000
2018-10-25 17:00:00,21.628,100.000
2018-10-25 17:05:00,21.509,100.000
2018-10-25 17:10:00,21.413,100.000
2018-10-25 17:15:00,21.366,100.000
2018-10-25 17:20:00,21.366,100.000
2018-10-25 17:25:00,21.318,100.000
2018-10-25 17:30:00,21.294,100.000
2018-10-25 17:35:00,21.318,100.000
2018-10-25 17:40:00,21.270,100.000
2018-10-25 17:45:00,21.246,100.000
2018-10-25 17:50:00,21.199,100.000
2018-10-25 17:55:00,21.175,100.000
2018-10-25 18:00:00,21.127,100.000
2018-10-25 18:05:00,21.127,100.000
2018-10-25 18:10:00,21.079,100.000
2018-10-25 18:15:00,21.032,100.000
2018-10-25 18:20:00,20.936,100.000
2018-10-25 18:25:00,20.889,100.000
2018-10-25 18:30:00,20.841,100.000
2018-10-25 18:35:00,20.793,100.000
2018-10-25 18:40:00,20.698,100.000
2018-10-25 18:45:00,20.627,100.000
2018-10-25 18:50:00,20.579,100.000
2018-10-25 18:55:00,20.531,100.000
2018-10-25 19:00:00,20.484,100.000
2018-10-25 19:05:00,20.484,100.000
2018-10-25 19:10:00,20.484,100.000
2018-10-25 19:15:00,20.484,100.000
2018-10-25 19:20:00,20.460,100.000
2018-10-25 19:25:00,20.388,100.000
2018-10-25 19:30:00,20.341,100.000
2018-10-25 19:35:00,20.293,100.000
2018-10-25 19:40:00,20.246,100.000
2018-10-25 19:45:00,20.246,100.000
2018-10-25 19:50:00,20.222,100.000
2018-10-25 19:55:00,20.198,100.000
2018-10-25 20:00:00,20.174,100.000
2018-10-25 20:05:00,20.150,100.000
2018-10-25 20:10:00,20.150,100.000
2018-10-25 20:15:00,20.126,100.000
2018-10-25 20:20:00,20.126,100.000
2018-10-25 20:25:00,20.103,100.000
2018-10-25 20:30:00,20.079,100.000
2018-10-25 20:35:00,20.055,100.000
2018-10-25 20:40:00,20.055,100.000
2018-10-25 20:45:00,20.079,100.000
2018-10-25 20:50:00,20.079,100.000
2018-10-25 20:55:00,20.103,100.000
2018-10-25 21:00:00,20.079,100.000
2018-10-25 21:05:00,20.079,100.000
2018-10-25 21:10:00,20.103,100.000
2018-10-25 21:15:00,20.079,100.000
2018-10-25 21:20:00,20.055,100.000
2018-10-25 21:25:00,20.031,100.000
2018-10-25 21:30:00,19.984,100.000
2018-10-25 21:35:00,19.865,100.000
2018-10-25 21:40:00,19.793,100.000
2018-10-25 21:45:00,19.722,100.000
2018-10-25 21:50:00,19.722,100.000
2018-10-25 21:55:00,19.722,100.000
2018-10-25 22:00:00,19.746,100.000
2018-10-25 22:05:00,19.770,100.000
2018-10-25 22:10:00,19.793,100.000
2018-10-25 22:15:00,19.746,100.000
2018-10-25 22:20:00,19.722,100.000
2018-10-25 22:25:00,19.746,100.000
