block,plot,ind,treatment,year,ring_width
1,1,S,DC,2014,11.459
1,1,S,DC,2015,4.975
1,1,S,DC,2016,4.953
1,1,S,DC,2017,7.48
1,2,B,AN,2014,10.725
1,2,B,AN,2015,8.044
1,2,B,AN,2016,7.07
1,2,B,AN,2017,3.846
3,12,E,AC,2016,7.169
3,12,E,AC,2017,5.814
4,14,E,DC,2014,8.919
4,14,E,DC,2015,3.726
4,14,E,DC,2016,6.915
4,14,E,DC,2017,9.766
5,17,A,DN,2014,9.427
5,17,A,DN,2015,6.774
5,17,A,DN,2016,5.843
5,17,A,DN,2017,6.209
5,17,F ,DN,2014,8.256
5,17,F ,DN,2015,5.193
5,17,F ,DN,2016,3.302
5,17,F ,DN,2017,1.948
5,17,J,DN,2014,8.233
5,17,J,DN,2015,4.55
5,17,J,DN,2016,3.024
5,17,J,DN,2017,1.033
5,17,S,DN,2015,6.345
5,17,S,DN,2016,6.059
5,17,S,DN,2017,3.719
6,21,F ,AC,2013,5.521
6,21,F ,AC,2014,5.086
6,21,F ,AC,2015,6.996
6,21,F ,AC,2016,11.678
6,21,F ,AC,2017,13.752
6,22,F ,DC,2015,3.613
6,22,F ,DC,2016,2.992
6,22,F ,DC,2017,1.524
6,23,H,AN,2013,6.732
6,23,H,AN,2014,5.334
6,23,H,AN,2015,6.615
6,23,H,AN,2016,4.371
6,23,H,AN,2017,7.795
7,26,B,AN,2014,4.544
7,26,B,AN,2015,4.826
7,26,B,AN,2016,5.588
7,26,B,AN,2017,3.189
8,29,B,AC,2013,7.903
8,29,B,AC,2014,5.991
8,29,B,AC,2015,7.885
8,29,B,AC,2016,12.902
8,29,B,AC,2017,12.334
8,30,S,DC,2014,6.616
8,30,S,DC,2015,5.538
8,30,S,DC,2016,6.115
8,30,S,DC,2017,10.74
10,37,I,AN,2015,5.927
10,37,I,AN,2016,5.447
10,37,I,AN,2017,2.852
10,39,P,AC,2013,6.012
10,39,P,AC,2014,3.615
10,39,P,AC,2015,6.991
10,39,P,AC,2016,8.684
10,39,P,AC,2017,7.293
