Installation,plot_id,date,sample_ID,life_stage,collection_method,tboid,tbo,Human,Wildlife,Domestic_Animals,Endosymbiont,Unknown,inst_name
blanding,blanding a1,2017-06-10T00:00:00Z,BA1ETAA1,adult,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding a1,2017-06-10T00:00:00Z,BA1ETAA1,adult,trap,tbo6,Rickettsia amblyommatis,Yes,No,No,Yes,No,Camp Blanding
blanding,blanding a1,2017-06-09T00:00:00Z,BA1XDAA1,adult,Drag,tbo6,Rickettsia amblyommatis,Yes,No,No,Yes,No,Camp Blanding
blanding,blanding a1,2017-06-09T00:00:00Z,BA1XDAA2,adult,Drag,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding a1,2017-06-09T00:00:00Z,BA1XDAA2,adult,Drag,tbo6,Rickettsia amblyommatis,Yes,No,No,Yes,No,Camp Blanding
blanding,blanding a1,2017-06-10T00:00:00Z,BA1XWAN1,nymph,Whalen,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding a1,2017-06-10T00:00:00Z,BA1XWAN1,nymph,Whalen,tbo6,Rickettsia amblyommatis,Yes,No,No,Yes,No,Camp Blanding
blanding,blanding a1,2017-06-10T00:00:00Z,BA1XWAN2,nymph,Whalen,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding a1,2017-06-10T00:00:00Z,BA1XWAN3,nymph,Whalen,tbo6,Rickettsia amblyommatis,Yes,No,No,Yes,No,Camp Blanding
blanding,blanding c1,2017-06-07T00:00:00Z,BCXWAN1,nymph,Whalen,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding c1,2017-06-07T00:00:00Z,BCXWAN1,nymph,Whalen,tbo6,Rickettsia amblyommatis,Yes,No,No,Yes,No,Camp Blanding
blanding,blanding d1,2017-06-10T00:00:00Z,BD1CTAA1,adult,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding d1,2017-06-10T00:00:00Z,BD1ETAA1,adult,trap,tbo6,Rickettsia amblyommatis,Yes,No,No,Yes,No,Camp Blanding
blanding,blanding d1,2017-06-10T00:00:00Z,BD1WTAA1,adult,trap,tbo6,Rickettsia amblyommatis,Yes,No,No,Yes,No,Camp Blanding
blanding,blanding e1,2017-06-15T00:00:00Z,BE1ETAA1,adult,trap,tbo6,Rickettsia amblyommatis,Yes,No,No,Yes,No,Camp Blanding
blanding,blanding f1,2017-06-23T00:00:00Z,BF1CTAA3,adult,trap,tbo6,Rickettsia amblyommatis,Yes,No,No,Yes,No,Camp Blanding
blanding,blanding f1,2017-06-23T00:00:00Z,BF1CTAA4,adult,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding f1,2017-06-23T00:00:00Z,BF1CTAA5,adult,trap,tbo6,Rickettsia amblyommatis,Yes,No,No,Yes,No,Camp Blanding
blanding,blanding f1,2017-06-23T00:00:00Z,BF1CTAA6,adult,trap,tbo6,Rickettsia amblyommatis,Yes,No,No,Yes,No,Camp Blanding
blanding,blanding f1,2017-06-23T00:00:00Z,BF1ETAA1,adult,trap,tbo6,Rickettsia amblyommatis,Yes,No,No,Yes,No,Camp Blanding
