Installation,plot_id,date,sample_ID,life_stage,collection_method,tboid,tbo,Human,Wildlife,Domestic_Animals,Endosymbiont,Unknown,inst_name
blanding,blanding a1,2017-06-10T00:00:00Z,BA1ETAA1,adult,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding a1,2017-06-09T00:00:00Z,BA1XDAA2,adult,Drag,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding a1,2017-06-10T00:00:00Z,BA1XWAN1,nymph,Whalen,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding a1,2017-06-10T00:00:00Z,BA1XWAN2,nymph,Whalen,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding c1,2017-06-07T00:00:00Z,BCXWAN1,nymph,Whalen,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding d1,2017-06-10T00:00:00Z,BD1CTAA1,adult,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding f1,2017-06-23T00:00:00Z,BF1CTAA4,adult,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding f1,2017-06-23T00:00:00Z,BF1XWAA5,adult,Whalen,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding f1,2017-06-23T00:00:00Z,BF1XWAN1,nymph,Whalen,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding f1,2017-06-23T00:00:00Z,BF1XWAN3,nymph,Whalen,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding f1,2017-06-23T00:00:00Z,BF1XWAN4,nymph,Whalen,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding f1,2017-06-23T00:00:00Z,BF1XWAN7,nymph,Whalen,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding f1,2017-06-23T00:00:00Z,BF1XWAN9,nymph,Whalen,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding g1,2018-05-24T00:00:00Z,BG1BTAN1,nymph,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding g1,2018-05-24T00:00:00Z,BG1FTAN1,nymph,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding g1,2017-06-16T00:00:00Z,BG1STMA1,adult,trap,tbo1,Rickettsia parkeri,Yes,No,Yes,No,No,Camp Blanding
blanding,blanding h1,2017-06-24T00:00:00Z,BH1CRAN03,nymph,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding h1,2017-06-24T00:00:00Z,BH1CRAN11,nymph,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding h1,2017-06-24T00:00:00Z,BH1CRAN16,nymph,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding h1,2017-06-24T00:00:00Z,BH1CRAN19,nymph,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding h1,2017-06-24T00:00:00Z,BH1CRAN34,nymph,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding h1,2017-06-24T00:00:00Z,BH1CRAN40,nymph,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding h1,2017-06-24T00:00:00Z,BH1CRAN41,nymph,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding h1,2017-06-24T00:00:00Z,BH1CRAN48,nymph,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding h1,2017-06-24T00:00:00Z,BH1CRAN56,nymph,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding h1,2017-06-24T00:00:00Z,BH1CRAN58,nymph,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding h1,2017-06-24T00:00:00Z,BH1CRAN59,nymph,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding h1,2017-06-16T00:00:00Z,BH1CTAA01,adult,trap,tbo1,Borrelia lonestari,Yes,No,No,No,No,Camp Blanding
blanding,blanding h1,2017-06-16T00:00:00Z,BH1CTAN05,nymph,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding h1,2017-06-16T00:00:00Z,BH1CTAN06,nymph,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
blanding,blanding h1,2017-06-16T00:00:00Z,BH1CTAN08,nymph,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,No,No,No,No,Camp Blanding
