year,cs_id,ring_width_mm,treatment
2018,1-S_DC_crossSection1,1.9896666666666647,DC
2017,1-S_DC_crossSection1,6.942666666666668,DC
2016,1-S_DC_crossSection1,4.741333333333333,DC
2015,1-S_DC_crossSection1,4.572000000000003,DC
2014,1-S_DC_crossSection1,2.497666666666664,DC
2013,1-S_DC_crossSection1,8.593666666666671,DC
2018,2-B_AN_crossSection1,2.201333333333338,AN
2017,2-B_AN_crossSection1,8.085666666666665,AN
2016,2-B_AN_crossSection1,7.916333333333334,AN
2015,2-B_AN_crossSection1,7.747,AN
2014,2-B_AN_crossSection1,11.133666666666667,AN
2013,2-B_AN_crossSection1,NA,AN
2018,2-G1_AN_crossSection1,1.312333333333335,AN
2017,2-G1_AN_crossSection1,5.418666666666667,AN
2016,2-G1_AN_crossSection1,5.757333333333335,AN
2015,2-G1_AN_crossSection1,6.392333333333333,AN
2014,2-G1_AN_crossSection1,NA,AN
2013,2-G1_AN_crossSection1,NA,AN
2018,2-G2_AN_crossSection1,1.6509999999999998,AN
2017,2-G2_AN_crossSection1,10.794999999999998,AN
2016,2-G2_AN_crossSection1,5.799666666666667,AN
2015,2-G2_AN_crossSection1,4.148666666666667,AN
2014,2-G2_AN_crossSection1,4.487333333333336,AN
2013,2-G2_AN_crossSection1,6.603999999999999,AN
2018,2-M_AN_crossSection1,3.0903333333333336,AN
2017,2-M_AN_crossSection1,4.402666666666665,AN
2016,2-M_AN_crossSection1,6.900333333333336,AN
2015,2-M_AN_crossSection1,3.7253333333333316,AN
2014,2-M_AN_crossSection1,4.487333333333332,AN
2013,2-M_AN_crossSection1,5.969000000000005,AN
2018,2-Q_AN_crossSection1,2.4976666666666674,AN
2017,2-Q_AN_crossSection1,9.60966666666667,AN
2016,2-Q_AN_crossSection1,12.403666666666666,AN
2015,2-Q_AN_crossSection1,10.371666666666663,AN
2014,2-Q_AN_crossSection1,3.429000000000002,AN
2013,2-Q_AN_crossSection1,6.011333333333333,AN
2018,2-T_AN_crossSection1,2.6670000000000016,AN
2017,2-T_AN_crossSection1,8.720666666666666,AN
2016,2-T_AN_crossSection1,7.493000000000002,AN
2015,2-T_AN_crossSection1,6.096,AN
2014,2-T_AN_crossSection1,3.979333333333333,AN
2013,2-T_AN_crossSection1,3.8100000000000023,AN
2018,3-C_DN_crossSection1,1.0159999999999982,DN
2017,3-C_DN_crossSection1,9.778999999999996,DN
2016,3-C_DN_crossSection1,11.218333333333334,DN
2015,3-C_DN_crossSection1,10.583333333333336,DN
2014,3-C_DN_crossSection1,6.138333333333335,DN
2013,3-C_DN_crossSection1,6.646333333333331,DN
2018,3-E_DN_crossSection1,2.3706666666666685,DN
2017,3-E_DN_crossSection1,7.365999999999998,DN
2016,3-E_DN_crossSection1,4.064000000000002,DN
2015,3-E_DN_crossSection1,4.487333333333332,DN
2014,3-E_DN_crossSection1,1.608666666666668,DN
2013,3-E_DN_crossSection1,5.334,DN
2018,5-O_AN_crossSection1,0.423333333333332,AN
2017,5-O_AN_crossSection1,4.699000000000005,AN
2016,5-O_AN_crossSection1,7.873999999999999,AN
2015,5-O_AN_crossSection1,4.952999999999999,AN
2014,5-O_AN_crossSection1,7.069666666666663,AN
2013,5-O_AN_crossSection1,4.910666666666671,AN
2018,6-G_DN_crossSection1,5.672666666666668,DN
2017,6-G_DN_crossSection1,5.6726666666666645,DN
2016,6-G_DN_crossSection1,2.6670000000000016,DN
2015,6-G_DN_crossSection1,3.5983333333333327,DN
2014,6-G_DN_crossSection1,5.164666666666665,DN
2013,6-G_DN_crossSection1,NA,DN
2018,14-E_DC_crossSection1,0.6773333333333298,DC
2017,14-E_DC_crossSection1,9.779000000000003,DC
2016,14-E_DC_crossSection1,7.323666666666664,DC
2015,14-E_DC_crossSection1,3.0056666666666665,DC
2014,14-E_DC_crossSection1,8.297333333333334,DC
2013,14-E_DC_crossSection1,NA,DC
2018,16-E_DN_crossSection1,3.0056666666666665,DN
2017,16-E_DN_crossSection1,8.212666666666667,DN
2016,16-E_DN_crossSection1,7.154333333333334,DN
2015,16-E_DN_crossSection1,4.106333333333335,DN
2014,16-E_DN_crossSection1,7.6199999999999974,DN
2013,16-E_DN_crossSection1,NA,DN
2018,17-A_DN_crossSection1,1.1430000000000007,DN
2017,17-A_DN_crossSection1,7.789333333333335,DN
2016,17-A_DN_crossSection1,6.053666666666665,DN
2015,17-A_DN_crossSection1,6.985000000000003,DN
2014,17-A_DN_crossSection1,10.456333333333333,DN
2013,17-A_DN_crossSection1,NA,DN
2018,17-B_DN_crossSection1,2.963333333333331,DN
2017,17-B_DN_crossSection1,13.377333333333333,DN
2016,17-B_DN_crossSection1,11.768666666666668,DN
2015,17-B_DN_crossSection1,7.958666666666666,DN
2014,17-B_DN_crossSection1,6.053666666666665,DN
2013,17-B_DN_crossSection1,6.011333333333333,DN
2018,17-F_DN_crossSection1,1.0159999999999982,DN
2017,17-F_DN_crossSection1,3.344333333333335,DN
2016,17-F_DN_crossSection1,5.461,DN
2015,17-F_DN_crossSection1,6.0536666666666665,DN
2014,17-F_DN_crossSection1,8.89,DN
2013,17-F_DN_crossSection1,NA,DN
2018,17-S_DN_crossSection1,1.397000000000002,DN
2017,17-S_DN_crossSection1,4.318,DN
2016,17-S_DN_crossSection1,3.3866666666666667,DN
2015,17-S_DN_crossSection1,5.376333333333333,DN
2014,17-S_DN_crossSection1,1.3969999999999985,DN
2013,17-S_DN_crossSection1,3.217333333333336,DN
2018,18-B_AN_crossSection1,2.8786666666666676,AN
2017,18-B_AN_crossSection1,12.911666666666662,AN
2016,18-B_AN_crossSection1,10.710333333333338,AN
2015,18-B_AN_crossSection1,9.482666666666667,AN
2014,18-B_AN_crossSection1,12.530666666666669,AN
2013,18-B_AN_crossSection1,NA,AN
2018,18-H_AN_crossSection1,2.2013333333333307,AN
2017,18-H_AN_crossSection1,10.075333333333337,AN
2016,18-H_AN_crossSection1,6.434666666666665,AN
2015,18-H_AN_crossSection1,6.477,AN
2014,18-H_AN_crossSection1,5.503333333333337,AN
2013,18-H_AN_crossSection1,5.50333333333333,AN
2018,19-A_DC_crossSection1,0.3386666666666649,DC
2017,19-A_DC_crossSection1,2.9633333333333347,DC
2016,19-A_DC_crossSection1,4.952999999999999,DC
2015,19-A_DC_crossSection1,3.725333333333335,DC
2014,19-A_DC_crossSection1,3.5559999999999974,DC
2013,19-A_DC_crossSection1,7.239000000000001,DC
2018,19-K_DC_crossSection1,6.053666666666668,DC
2017,19-K_DC_crossSection1,7.408333333333331,DC
2016,19-K_DC_crossSection1,2.963333333333331,DC
2015,19-K_DC_crossSection1,4.233333333333334,DC
2014,19-K_DC_crossSection1,4.656666666666666,DC
2013,19-K_DC_crossSection1,NA,DC
2018,19-P_DC_crossSection1,0.8466666666666676,DC
2017,19-P_DC_crossSection1,8.466666666666669,DC
2016,19-P_DC_crossSection1,5.503333333333334,DC
2015,19-P_DC_crossSection1,1.4816666666666656,DC
2014,19-P_DC_crossSection1,3.979333333333333,DC
2013,19-P_DC_crossSection1,4.698999999999998,DC
2018,21-D_AC_crossSection1,2.4553333333333356,AC
2017,21-D_AC_crossSection1,10.583333333333336,AC
2016,21-D_AC_crossSection1,6.900333333333332,AC
2015,21-D_AC_crossSection1,4.614333333333331,AC
2014,21-D_AC_crossSection1,8.466666666666669,AC
2013,21-D_AC_crossSection1,NA,AC
2018,21-F_AC_crossSection1,2.201333333333338,AC
2017,21-F_AC_crossSection1,14.308666666666667,AC
2016,21-F_AC_crossSection1,14.139333333333333,AC
2015,21-F_AC_crossSection1,8.762999999999998,AC
2014,21-F_AC_crossSection1,5.418666666666667,AC
2013,21-F_AC_crossSection1,5.418666666666667,AC
2018,21-T_AC_crossSection1,1.2700000000000031,AC
2017,21-T_AC_crossSection1,8.29733333333333,AC
2016,21-T_AC_crossSection1,9.863666666666667,AC
2015,21-T_AC_crossSection1,5.291666666666668,AC
2014,21-T_AC_crossSection1,4.571999999999996,AC
2013,21-T_AC_crossSection1,4.1910000000000025,AC
2018,22-C_DC_crossSection1,2.582333333333331,DC
2017,22-C_DC_crossSection1,13.504333333333335,DC
2016,22-C_DC_crossSection1,9.017000000000003,DC
2015,22-C_DC_crossSection1,8.80533333333333,DC
2014,22-C_DC_crossSection1,9.736666666666665,DC
2013,22-C_DC_crossSection1,NA,DC
2018,23-H_AN_crossSection1,2.793999999999997,AN
2017,23-H_AN_crossSection1,11.218333333333334,AN
2016,23-H_AN_crossSection1,5.672666666666668,AN
2015,23-H_AN_crossSection1,7.747,AN
2014,23-H_AN_crossSection1,4.995333333333331,AN
2013,23-H_AN_crossSection1,6.561666666666667,AN
2018,25-A_DN_crossSection1,3.894666666666666,DN
2017,25-A_DN_crossSection1,14.689666666666668,DN
2016,25-A_DN_crossSection1,10.371666666666663,DN
2015,25-A_DN_crossSection1,5.842000000000006,DN
2014,25-A_DN_crossSection1,8.04333333333333,DN
2013,25-A_DN_crossSection1,NA,DN
